antibiotic,number of samples,percentage positive,most frequent species
ciprofloxacin,30543,0.244,"Escherichia coli (4911), Staphylococcus epidermidis (4679), Staphylococcus aureus (3757), Pseudomonas aeruginosa (3153), Klebsiella pneumoniae (2838)"
meropenem,29531,0.174,"Escherichia coli (4928), Staphylococcus epidermidis (4261), Staphylococcus aureus (3643), Pseudomonas aeruginosa (3183), Klebsiella pneumoniae (2855)"
imipenem,29391,0.234,"Escherichia coli (4923), Staphylococcus epidermidis (4261), Staphylococcus aureus (3640), Klebsiella pneumoniae (2847), Pseudomonas aeruginosa (2377)"
cefepime,28476,0.229,"Escherichia coli (4890), Staphylococcus epidermidis (4261), Staphylococcus aureus (3640), Pseudomonas aeruginosa (3088), Klebsiella pneumoniae (2839)"
piperacillin-tazobactam,28398,0.231,"Escherichia coli (4799), Staphylococcus epidermidis (4261), Staphylococcus aureus (3640), Pseudomonas aeruginosa (3152), Klebsiella pneumoniae (2759)"
ampicillin-amoxicillin,26871,0.817,"Escherichia coli (4866), Staphylococcus epidermidis (4371), Staphylococcus aureus (3556), Klebsiella pneumoniae (2856), Enterobacter cloacae (1257)"
cotrimoxazole,26640,0.183,"Escherichia coli (4888), Staphylococcus epidermidis (4545), Staphylococcus aureus (3741), Klebsiella pneumoniae (2854), Enterobacter cloacae (1257)"
ceftriaxone,26545,0.275,"Escherichia coli (4961), Staphylococcus epidermidis (4261), Staphylococcus aureus (3640), Klebsiella pneumoniae (2860), Enterobacter cloacae (1249)"
amoxicillin-clavulanic acid,25228,0.393,"Escherichia coli (4826), Staphylococcus epidermidis (4262), Staphylococcus aureus (3640), Klebsiella pneumoniae (2840), Enterobacter cloacae (1260)"
levofloxacin,20784,0.191,"Escherichia coli (4858), Klebsiella pneumoniae (2830), Pseudomonas aeruginosa (2356), Enterobacter cloacae (1256), Enterococcus faecium (1133)"
colistin,18333,0.155,"Escherichia coli (4930), Pseudomonas aeruginosa (3234), Klebsiella pneumoniae (2854), Enterobacter cloacae (1257), Proteus mirabilis (912)"
tobramycin,18190,0.093,"Escherichia coli (4876), Pseudomonas aeruginosa (3231), Klebsiella pneumoniae (2846), Enterobacter cloacae (1257), Proteus mirabilis (912)"
ceftazidime,17392,0.141,"Escherichia coli (4822), Klebsiella pneumoniae (2832), Pseudomonas aeruginosa (2459), Enterobacter cloacae (1234), Proteus mirabilis (909)"
amikacin,17222,0.057,"Escherichia coli (4858), Klebsiella pneumoniae (2830), Pseudomonas aeruginosa (2372), Enterobacter cloacae (1257), Proteus mirabilis (903)"
vancomycin,15076,0.012,"Staphylococcus epidermidis (4777), Staphylococcus aureus (3791), Enterococcus faecium (1183), Enterococcus faecalis (785), Staphylococcus hominis (717)"
ertapenem,14753,0.02,"Escherichia coli (4983), Klebsiella pneumoniae (2859), Enterobacter cloacae (1249), Proteus mirabilis (915), Serratia marcescens (860)"
penicillin,13406,0.737,"Staphylococcus epidermidis (4371), Staphylococcus aureus (3553), Staphylococcus hominis (709), Haemophilus influenzae (360), Staphylococcus capitis (318)"
linezolid,12288,0.001,"Staphylococcus epidermidis (4407), Staphylococcus aureus (3639), Enterococcus faecium (1124), Enterococcus faecalis (763), Staphylococcus hominis (709)"
tigecycline,12280,0.004,"Staphylococcus epidermidis (4365), Staphylococcus aureus (3640), Enterococcus faecium (1128), Enterococcus faecalis (765), Staphylococcus hominis (700)"
clindamycin,11612,0.313,"Staphylococcus epidermidis (4192), Staphylococcus aureus (3575), Staphylococcus hominis (685), Staphylococcus capitis (318), Staphylococcus lugdunensis (305)"
daptomycin,11384,0.009,"Staphylococcus epidermidis (4761), Staphylococcus aureus (3780), Staphylococcus hominis (715), Staphylococcus capitis (365), Enterococcus faecium (357)"
erythromycin,11079,0.409,"Staphylococcus epidermidis (4232), Staphylococcus aureus (3598), Staphylococcus hominis (685), Staphylococcus capitis (328), Campylobacter jejuni (299)"
oxacillin,10985,0.422,"Staphylococcus epidermidis (4664), Staphylococcus aureus (3790), Staphylococcus hominis (685), Staphylococcus capitis (365), Staphylococcus lugdunensis (313)"
rifampicin,10966,0.049,"Staphylococcus epidermidis (4758), Staphylococcus aureus (3774), Staphylococcus hominis (717), Staphylococcus capitis (365), Staphylococcus lugdunensis (311)"
fusidic acid,10637,0.321,"Staphylococcus epidermidis (4589), Staphylococcus aureus (3766), Staphylococcus hominis (692), Staphylococcus capitis (365), Staphylococcus lugdunensis (311)"
gentamicin,10579,0.218,"Staphylococcus epidermidis (4221), Staphylococcus aureus (3629), Staphylococcus hominis (683), Staphylococcus capitis (319), Staphylococcus lugdunensis (297)"
cefuroxime,10578,0.423,"Staphylococcus epidermidis (4261), Staphylococcus aureus (3640), Staphylococcus hominis (668), Haemophilus influenzae (347), Staphylococcus capitis (322)"
cefazolin,10036,0.421,"Staphylococcus epidermidis (4261), Staphylococcus aureus (3640), Staphylococcus hominis (668), Staphylococcus capitis (322), Staphylococcus lugdunensis (298)"
tetracycline,9918,0.311,"Staphylococcus epidermidis (4132), Staphylococcus aureus (3609), Staphylococcus hominis (670), Staphylococcus capitis (318), Staphylococcus lugdunensis (297)"
teicoplanin,7691,0.029,"Staphylococcus aureus (3629), Enterococcus faecium (1124), Enterococcus faecalis (757), Staphylococcus epidermidis (488), Staphylococcus capitis (317)"
cefpodoxime,6720,0.348,"Escherichia coli (2075), Klebsiella pneumoniae (1826), Proteus mirabilis (470), Enterobacter cloacae (450), Klebsiella variicola (354)"
fosfomycin-trometamol,6129,0.216,"Klebsiella pneumoniae (1809), Escherichia coli (1499), Proteus mirabilis (465), Enterobacter cloacae (443), Klebsiella variicola (356)"
norfloxacin,6105,0.143,"Klebsiella pneumoniae (1814), Escherichia coli (1488), Proteus mirabilis (461), Enterobacter cloacae (443), Klebsiella variicola (356)"
mupirocin,3815,0.007,"Staphylococcus aureus (3633), Staphylococcus epidermidis (84), MIX!Staphylococcus aureus (31), Staphylococcus capitis (14), Staphylococcus haemolyticus (13)"
nitrofurantoin,2108,0.195,"Escherichia coli (1498), Enterococcus faecium (464), Enterococcus faecalis (54), Citrobacter freundii (11), MIX!Escherichia coli (10)"
aztreonam,856,0.706,"Pseudomonas aeruginosa (763), Pseudomonas stutzeri (22), Escherichia coli (13), Pseudomonas monteilii (9), Klebsiella pneumoniae (8)"
caspofungin,686,0.054,"Candida albicans (292), Candida glabrata (171), Candida parapsilosis (65), Candida tropicalis (50), Candida dubliniensis (29)"
gentamicin_high_level,686,0.155,"Enterococcus faecium (273), Enterococcus faecalis (152), Streptococcus oralis (43), Streptococcus mitis (34), Streptococcus parasanguinis (33)"
5-fluorocytosine,680,0.037,"Candida albicans (292), Candida glabrata (174), Candida parapsilosis (65), Candida tropicalis (50), Candida dubliniensis (29)"
micafungin,680,0.151,"Candida albicans (290), Candida glabrata (174), Candida parapsilosis (65), Candida tropicalis (50), Candida dubliniensis (29)"
anidulafungin,675,0.283,"Candida albicans (287), Candida glabrata (173), Candida parapsilosis (65), Candida tropicalis (50), Candida dubliniensis (29)"
fluconazole,675,0.393,"Candida albicans (283), Candida glabrata (174), Candida parapsilosis (65), Candida tropicalis (49), Candida dubliniensis (29)"
itraconazole,668,0.377,"Candida albicans (283), Candida glabrata (172), Candida parapsilosis (65), Candida tropicalis (43), Candida dubliniensis (29)"
amoxicillin,629,0.216,"Enterococcus faecium (91), Haemophilus influenzae (56), Enterococcus faecalis (52), Actinotignum schaalii (40), Haemophilus parainfluenzae (36)"
amphotericin b,616,0.0,"Candida albicans (290), Candida glabrata (176), Candida parapsilosis (65), Candida tropicalis (50), Candida krusei (11)"
voriconazole,502,0.058,"Candida albicans (286), Candida parapsilosis (65), Candida tropicalis (43), Candida dubliniensis (27), Saccharomyces cerevisiae (25)"
posaconazole,412,0.124,"Candida albicans (282), Candida parapsilosis (65), Candida tropicalis (43), Candida glabrata (4), Candida albicans_(africana) (4)"
moxifloxacin,411,0.221,"Finegoldia magna (23), Bacteroides fragilis (19), Parvimonas micra (15), Streptococcus anginosus (15), Lactobacillus rhamnosus (15)"
penicillin_with_endokarditis,330,0.539,"Streptococcus oralis (65), Streptococcus parasanguinis (56), Streptococcus mitis (39), Streptococcus sanguinis (23), Streptococcus gordonii (19)"
penicillin_without_endokarditis,325,0.434,"Streptococcus oralis (65), Streptococcus parasanguinis (56), Streptococcus mitis (39), Streptococcus sanguinis (20), Streptococcus gordonii (19)"
clarithromycin,313,0.188,"Streptococcus pneumoniae (255), Streptococcus agalactiae (7), Streptococcus dysgalactiae (7), Streptococcus pseudopneumoniae (7), Streptococcus anginosus (7)"
penicillin_with_pneumonia,293,0.041,"Streptococcus pneumoniae (256), Streptococcus pseudopneumoniae (7), Streptococcus anginosus (7), Streptococcus mitis (6), Streptococcus constellatus (5)"
penicillin_with_other_infections,292,0.175,"Streptococcus pneumoniae (256), Streptococcus pseudopneumoniae (7), Streptococcus anginosus (7), Streptococcus mitis (6), Streptococcus constellatus (5)"
penicillin_with_meningitis,291,0.199,"Streptococcus pneumoniae (255), Streptococcus pseudopneumoniae (7), Streptococcus anginosus (7), Streptococcus mitis (6), Streptococcus constellatus (5)"
metronidazole,247,0.057,"Bacteroides fragilis (37), Clostridium difficile (18), Clostridium perfringens (13), Parvimonas micra (12), Bacteroides faecis (9)"
quinolones,211,0.057,"Haemophilus influenzae (55), Staphylococcus aureus (19), Staphylococcus epidermidis (17), Corynebacterium macginleyi (14), Escherichia coli (14)"
meropenem_with_meningitis,210,0.133,"Haemophilus influenzae (70), Streptococcus pneumoniae (56), Haemophilus parainfluenzae (40), MIX!Haemophilus parainfluenzae (11), MIX!Haemophilus influenzae (9)"
chloramphenicol,203,0.138,"Haemophilus influenzae (55), Staphylococcus aureus (19), Staphylococcus epidermidis (17), Corynebacterium macginleyi (14), Escherichia coli (14)"
meropenem_without_meningitis,142,0.035,"Haemophilus influenzae (72), Haemophilus parainfluenzae (40), MIX!Haemophilus parainfluenzae (11), MIX!Haemophilus influenzae (9), Haemophilus pittmaniae (4)"
aminoglycosides,122,0.164,"Staphylococcus aureus (19), Staphylococcus epidermidis (15), Corynebacterium macginleyi (14), Escherichia coli (14), Pseudomonas aeruginosa (11)"
doxycycline,105,0.114,"Staphylococcus epidermidis (37), Finegoldia magna (6), Campylobacter jejuni (5), Corynebacterium amycolatum (4), Haemophilus influenzae (4)"
azithromycin,95,0.126,"Neisseria gonorrhoeae (67), MIX!Neisseria gonorrhoeae (6), Campylobacter fetus (5), Campylobacter coli (5), Salmonella spp (3)"
fosfomycin,81,0.58,"Pseudomonas aeruginosa (37), Staphylococcus epidermidis (14), Klebsiella pneumoniae (7), Escherichia coli (4), Acinetobacter baumannii (3)"
amoxicillin-clavulanic acid_uncomplicated_hwi,80,0.3,"Escherichia coli (47), Citrobacter freundii (14), Proteus mirabilis (9), Klebsiella pneumoniae (6), Enterobacter cloacae (2)"
minocycline,74,0.297,"Staphylococcus epidermidis (25), Burkholderia multivorans (10), Stenotrophomonas maltophilia (7), Acinetobacter baumannii (6), Burkholderia vietnamiensis (6)"
cefixime,74,0.081,"Neisseria gonorrhoeae (63), MIX!Neisseria gonorrhoeae (6), Neisseria meningitidis (3), Yersinia enterocolitica (2)"
meropenem_with_pneumonia,70,0.0,"Streptococcus pneumoniae (56), Streptococcus pseudopneumoniae (3), Streptococcus anginosus (3), Streptococcus mitis (3), Streptococcus constellatus (3)"
cefoxitin_screen,52,0.096,"Staphylococcus aureus (23), Staphylococcus epidermidis (13), Staphylococcus pseudintermedius (8), Staphylococcus hominis (3), Staphylococcus lugdunensis (3)"
vancomycin_grd,12,0.0,Staphylococcus aureus (12)
teicoplanin_grd,12,0.167,Staphylococcus aureus (12)
rifampicin_1mg-l,10,0.2,"Peptoniphilus harei (3), Corynebacterium jeikeium (2), Staphylococcus aureus (2), Streptococcus oralis (2), Corynebacterium simulans (1)"
