003376ac-cc01-4c67-bb8e-b9d9860a2b66;( - );( C );no peaks found ;<0;no peaks found ;<0;
00aa2ddb-1819-475c-85e6-ed39d6efe6bc;( +++ );( A );Staphylococcus aureus;2.34;Staphylococcus aureus;2.32;
00a34ab1-7a8f-4a3a-9815-1004ab3c6dd9;( +++ );( A );MIX!Staphylococcus saccharolyticus;2.4;Staphylococcus saccharolyticus;2.3;
00ad66f8-fb50-4d5c-8561-c92f563862b5;( ++ );( A );Enterococcus faecalis;2.24;Enterococcus faecalis;2.16;
0043f2aa-7a23-4a9a-a83b-9237a365fc88;( ++ );( A );Staphylococcus caprae;2.1;Staphylococcus caprae;2.08;
0077709d-351a-4d17-a121-1f9330baeded;( ++ );( A );Escherichia coli;2.25;Escherichia coli;2.25;
00c6e866-f9af-4960-831c-91290e13070f;( ++ );( A );Streptococcus gallolyticus;2.19;Streptococcus gallolyticus;1.94;
00f9faef-13bd-4ea5-a736-886ab03bba14;( + );( B );Staphylococcus epidermidis;1.95;Staphylococcus epidermidis;1.94;
0149d8f2-7dfb-4f39-8250-6e57cd4cbe25;( - );( C );not reliable identification;1.48;not reliable identification;1.41;
01b5bbf8-97d1-4373-8dbc-2f2d0745bed1;( - );( C );not reliable identification;1.35;not reliable identification;1.32;
01b70287-04b0-4715-b382-4befd064ec97;( +++ );( A );Staphylococcus aureus;2.4;Staphylococcus aureus;2.4;
01c9fbe7-9a80-4f41-855a-829263f45321;( - );( C );not reliable identification;1.42;not reliable identification;1.36;
01fb4a12-6fe9-4256-8e01-bac5479af14f;( +++ );( A );Streptococcus oralis;2.36;Streptococcus oralis;2.35;
02a8c3c6-103f-4ceb-8573-1442ce1fc7fa;( + );( B );Staphylococcus epidermidis;1.88;Staphylococcus epidermidis;1.86;
02ab6a84-2b80-4a61-af88-1eb109071a32;( +++ );( A );Staphylococcus simulans;2.35;Staphylococcus simulans;2.32;
02c0e949-1a0b-4b26-ae5d-a0d23b391e88;( +++ );( A );MIX!Staphylococcus epidermidis;2.42;Staphylococcus epidermidis;2.39;
02ff243e-b05b-4de6-983e-791e29b1b78e;( +++ );( B );Enterococcus avium;2.38;Enterococcus avium;2.37;
035b2346-00c2-41e0-aef4-90200d43448b;( +++ );( B );Escherichia coli;2.34;Escherichia coli;2.28;
038a518d-d906-420a-bb0f-d8f75f9d25e4;( ++ );( A );Staphylococcus epidermidis;2.17;Staphylococcus epidermidis;2.04;
04850331-91b6-4147-bf7b-034d37e59a7d;( ++ );( A );Staphylococcus epidermidis;2.18;Staphylococcus epidermidis;2.09;
04c90ab1-a470-446b-9263-6ad189072d3d;( ++ );( A );Candida glabrata;2.25;Candida glabrata;2.16;
04fc22c6-be4f-4094-bc49-dae8272085b3;( +++ );( A );Pseudomonas aeruginosa;2.48;Pseudomonas aeruginosa;2.39;
050545ef-5301-4bdc-9c1e-74ab45e11107;( - );( C );no peaks found ;<0;no peaks found ;<0;
05287e5c-9a3f-453a-b516-5be85ee26616;( + );( B );Trichosporon asahii;1.93;Trichosporon asahii;1.91;
05be14cc-85d3-446b-88fc-54fcd90da5c0;( ++ );( A );Staphylococcus aureus;2.25;Staphylococcus aureus;2.21;
0672e1a0-2a25-47b5-b388-2957a1680dcf;( +++ );( A );Staphylococcus aureus;2.39;Staphylococcus aureus;2.19;
068a41bd-5231-477b-b5ee-09e68d051860;( ++ );( A );Streptococcus anginosus;2.02;Streptococcus anginosus;1.96;
0713c964-6ac4-4286-bbd6-e514d8629b3c;( ++ );( A );Escherichia coli;2.27;Escherichia coli;2.15;
07d905be-cbf9-43e5-8718-37893993ce5d;( +++ );( A );Enterococcus faecium;2.47;Enterococcus faecium;2.37;
08839814-b105-4c1b-8468-74d18bb16511;( + );( B );Aerococcus urinae;1.98;Aerococcus urinae;1.86;
090e7b6f-67d7-4399-816e-e92316eb0a25;( +++ );( A );Actinomyces neuii;2.32;Actinomyces neuii;2.31;
09534740-44b1-44d5-a109-2665c0b61b32;( ++ );( A );Candida glabrata;2.14;Candida glabrata;2.04;
09ec8c20-7a75-452a-869a-71c7d930177b;( ++ );( A );Fusobacterium necrophorum;2.25;Fusobacterium necrophorum;2.22;
09faa676-9377-4136-b814-9e4778b7e156;( ++ );( A );Escherichia coli;2.27;Escherichia coli;2.23;
0a150966-3dec-4b1d-b5de-805f3a87e006;( ++ );( A );Staphylococcus epidermidis;2.08;Staphylococcus epidermidis;2.03;
0a70a669-b843-4524-b127-5d455c2fe5b3;( +++ );( B );Klebsiella variicola;2.42;Klebsiella variicola;2.4;
0a8a3816-605b-44bb-85db-208195408190;( ++ );( A );Staphylococcus epidermidis;2.15;Staphylococcus epidermidis;2.08;
0bb26438-e577-4955-8c09-25dbaee3645b;( - );( C );not reliable identification;1.44;not reliable identification;1.35;
0c2c664a-ced6-4ebb-9a72-c235e892dd6e;( +++ );( A );Pseudomonas aeruginosa;2.42;Pseudomonas aeruginosa;2.25;
0ca6bbbe-af47-482e-8de0-a378004686b5;( +++ );( A );Proteus mirabilis;2.49;Proteus mirabilis;2.38;
0d22ad26-256f-4aed-bbb2-0ea92ebe33dd;( ++ );( A );Staphylococcus caprae;2.14;Staphylococcus caprae;1.98;
0d2dc867-f2bd-41b1-9834-4be1996dd089;( ++ );( A );Enterococcus faecalis;2.28;Enterococcus faecalis;2.21;
0dc2fd20-0c7e-4965-bb99-c2dba84207ac;( ++ );( B );Enterobacter cloacae;2.29;Enterobacter kobei;2.18;
0dcd227a-80f2-4262-8fad-a4658268adb1;( +++ );( A );Proteus mirabilis;2.4;Proteus mirabilis;2.24;
0def86aa-7c46-437f-a633-30d39847eb59;( ++ );( A );Staphylococcus aureus;2.24;Staphylococcus aureus;2.23;
0e0c36e8-572b-4605-80bd-0b053c7f51fd;( ++ );( A );Staphylococcus lugdunensis;2.25;Staphylococcus lugdunensis;2.22;
0e18e574-6ab8-486a-8a6b-e5a0e5ac0e8f;( +++ );( A );Haemophilus influenzae;2.43;Haemophilus influenzae;2.37;
0e4393d8-53d2-4f73-8164-35b837ba0831;( ++ );( A );Streptococcus pneumoniae;2.18;Streptococcus pneumoniae;2.15;
0e5b9354-a48f-419a-a36d-62030f097cbb;( ++ );( A );Candida albicans;2.01;Candida albicans;1.9;
0e9a714e-8d8e-4c50-9854-1a232992f312;( ++ );( A );Lactobacillus jensenii;2.22;Lactobacillus jensenii;1.96;
0e9b393d-42d0-44ae-a92b-299cd4826986;( ++ );( B );Propionibacterium avidum;2.2;Propionibacterium sp[2];2.11;
0ea1e4ed-95ea-4427-8b75-6d3725ad1649;( +++ );( A );Staphylococcus aureus;2.47;Staphylococcus aureus;2.37;
0ec46ef4-7cd9-4a80-8e4f-6d4ba40c2a65;( + );( B );Parvimonas micra;1.98;Parvimonas micra;1.98;
0ed39ced-b692-4d7d-a951-c1a158180370;( + );( B );Enterococcus faecium;1.81;not reliable identification;1.66;
0f10450f-31a6-4764-b280-60cfa8d0c238;( - );( C );not reliable identification;1.44;not reliable identification;1.21;
0f1e3dc5-b154-4d82-beb5-983e898603bb;( + );( B );Staphylococcus haemolyticus;1.8;not reliable identification;1.69;
0fd4d1eb-54e0-46d2-9dcc-ac8e044a93ff;( +++ );( A );Staphylococcus aureus;2.31;Staphylococcus aureus;2.29;
1051f3c3-1643-456e-984e-5cc5bba37fa0;( +++ );( A );Enterococcus faecium;2.49;Enterococcus faecium;2.39;
117c7d59-2bf0-4351-9b2d-5532e543dce0;( +++ );( A );Escherichia coli;2.37;Escherichia coli;2.26;
1196ecaf-9707-4b84-bfe5-9fef6bd39d69;( ++ );( C );Enterobacter asburiae;2.16;Enterobacter cloacae;2.15;
1197ac6f-fe17-4021-8e44-ea19f3e3689a;( +++ );( B );Escherichia coli;2.35;Escherichia coli;2.34;
11db77e7-c5bf-4252-aa8d-b293678e0b81;( +++ );( C );MIX!Eggerthella lenta;2.74;Eggerthella lenta;2.69;
11e4fa9f-ab5f-4ed5-8ebb-0125d0d15f71;( - );( C );no peaks found ;<0;no peaks found ;<0;
11f87fad-7e12-4687-9df4-e5db7e07e6c5;( - );( C );not reliable identification;1.65;not reliable identification;1.57;
1252121c-1173-40ca-a7c6-84ce05caa232;( ++ );( A );Streptococcus anginosus;2.15;Streptococcus anginosus;2.05;
129c5434-02a5-4a18-8fd2-b3b95ec6e316;( +++ );( B );Klebsiella pneumoniae;2.36;Klebsiella pneumoniae;2.35;
12cbce42-7d05-491f-93a5-5f781a8ed51e;( ++ );( A );Staphylococcus haemolyticus;2.17;Staphylococcus haemolyticus;2.03;
12dbab4b-0e79-4c2c-9d58-54789847bc15;( +++ );( A );Escherichia coli;2.33;Escherichia coli;2.27;
12eb8a56-76b0-4366-9135-8fd0a8f77e13;( +++ );( A );Escherichia coli;2.34;Escherichia coli;2.27;
13b945d1-3b74-4439-8248-1ae896efc070;( + );( B );Staphylococcus warneri;1.81;Staphylococcus warneri;1.79;
144c76aa-f092-439e-8f0e-36ad268d4a8f;( ++ );( A );MIX!Neisseria gonorrhoeae;2.27;Neisseria gonorrhoeae;2.21;
153add02-067c-4c87-bf85-d57fb3f67358;( ++ );( A );Delftia acidovorans;2.24;Delftia acidovorans;2.09;
15c9ebff-8bc7-4172-b4a4-c95c54309396;( - );( C );not reliable identification;1.37;not reliable identification;1.29;
1631cc82-0e02-4e47-a570-37b51004eb78;( ++ );( A );Dermabacter hominis;2.19;Dermabacter hominis;2.18;
1659b26b-8356-4ced-9a2d-b1cd95e54a8f;( ++ );( A );Dermabacter hominis;2.28;Dermabacter hominis;2.24;
17590f59-14a4-43f0-9cf3-5c3e5f885671;( +++ );( A );Escherichia coli;2.32;Escherichia coli;2.26;
17ba36e2-43cb-43a7-bcc7-99331e816a37;( ++ );( B );Candida albicans;2.22;Candida albicans_(africana);2.14;
186e6e7a-3df8-41c9-bc81-180aeb76c5cb;( +++ );( A );Enterococcus faecium;2.4;Enterococcus faecium;2.16;
187f2f1a-5ce9-4e55-b922-1153b6c93e21;( +++ );( A );Staphylococcus aureus;2.33;Staphylococcus aureus;2.32;
18860d35-401f-475b-9d89-3bf0107c0cd6;( ++ );( A );Staphylococcus aureus;2.21;Staphylococcus aureus;2.15;
196618ce-2cd2-4233-b363-e95d104baad1;( +++ );( A );Escherichia coli;2.32;Escherichia coli;2.19;
19919dcc-177e-436e-9858-5df959ca435c;( ++ );( A );Aerococcus urinae;2.14;Aerococcus urinae;2.12;
19c9e054-5468-41a1-a1b8-5bc6106c14ac;( ++ );( A );Campylobacter jejuni;2.25;Campylobacter jejuni;2.19;
19eead16-d4a5-4812-b1f6-e97a313a42bd;( + );( B );Propionibacterium acnes;1.98;Propionibacterium acnes;1.94;
1a0ff74b-57d7-427e-a096-b5cbed95042d;( +++ );( C );Enterobacter aerogenes;2.31;Enterobacter aerogenes;2.27;
1a55249c-03a2-477f-b189-e08c265ead5f;( +++ );( A );MIX!Pasteurella multocida;2.41;Pasteurella multocida;2.26;
1a78a358-0134-4765-bb0e-3aa811f9f81d;( - );( C );no peaks found ;<0;no peaks found ;<0;
1b08112f-f007-4c7f-9038-6474fd79dda9;( ++ );( A );Streptococcus massiliensis;2.2;not reliable identification;1.49;
1b25805f-b40c-4dee-b60d-0b47297b3727;( ++ );( A );Dermabacter hominis;2.08;Dermabacter hominis;1.99;
1b6c62bf-8ae5-49fc-be90-84524959536e;( +++ );( A );Moraxella_sg_Branhamella catarrhalis;2.4;Moraxella_sg_Branhamella catarrhalis;2.32;
1bac0299-bf35-4f06-b0f8-6e1d946ed463;( ++ );( A );Staphylococcus warneri;2.09;Staphylococcus warneri;2.08;
1bb2a5a7-5f41-4d64-91ee-6937116a65c6;( ++ );( A );Haemophilus parainfluenzae;2.27;Haemophilus parainfluenzae;2.07;
1bc23bf5-021e-4da6-94c0-4b8b80dbdcc5;( ++ );( A );Escherichia coli;2.24;Escherichia coli;2.21;
1c0d63c6-f142-4f02-87f9-a9c4738961b6;( ++ );( C );Enterobacter kobei;2.08;Enterobacter cloacae;2.08;
1c371cc7-b2d4-49bf-a92a-0eb50e2e7ab5;( +++ );( A );Escherichia coli;2.33;Escherichia coli;2.3;
1c645665-242c-4b47-93cd-27ed9a2ae850;( + );( B );Streptococcus anginosus;1.82;Streptococcus anginosus;1.76;
1c798501-978c-4642-8ac6-61bfe5d74494;( ++ );( A );Staphylococcus hominis;2.06;Staphylococcus hominis;2.05;
1c93feb3-4a69-4148-be3d-593c2ead1af2;( + );( B );Finegoldia magna;1.9;Finegoldia magna;1.89;
1cc33207-e99a-4d38-bbd4-66701351416e;( ++ );( B );Escherichia coli;2.26;Escherichia coli;2.22;
1d1c4e7e-e47b-4598-abaf-d5c841048e79;( - );( C );no peaks found ;<0;no peaks found ;<0;
1d558710-b9f9-4cd5-b2db-e78abc4d5f2f;( +++ );( A );Staphylococcus haemolyticus;2.4;Staphylococcus haemolyticus;2.17;
1d71bdea-5bfb-4aa5-8014-b4e4c11be725;( +++ );( A );Staphylococcus aureus;2.41;Staphylococcus aureus;2.37;
1ddbcb12-da1d-4506-8228-09e0d1643c46;( +++ );( A );Streptococcus intermedius;2.38;Streptococcus intermedius;2.37;
1deca580-4141-43c4-b7a9-80772c509756;( +++ );( A );Staphylococcus aureus;2.36;Staphylococcus aureus;2.26;
1e8874a0-1924-4e6f-8b22-2f81adc52025;( +++ );( A );MIX!Haemophilus parainfluenzae;2.42;Haemophilus parainfluenzae;2.11;
1ea2a7f6-7997-4a67-ade7-a47f6950b558;( +++ );( A );Propionibacterium acnes;2.39;Propionibacterium acnes;2.17;
1eed7e43-67a4-414d-9e04-143a8710c5b9;( +++ );( A );Proteus mirabilis;2.31;Proteus mirabilis;2.16;
1f807c55-19a2-46e5-b8ff-dba4ec7c2364;( ++ );( A );Staphylococcus epidermidis;2.07;Staphylococcus epidermidis;2.03;
1f87990d-4710-4d95-a8bb-83eb26a6b4f4;( - );( C );not reliable identification;1.44;not reliable identification;1.35;
1fa4aa8c-6d45-45c9-acc9-f6403e8553a7;( - );( C );no peaks found ;<0;no peaks found ;<0;
201ad4af-2ee8-44e2-afb6-d573b75a66ce;( ++ );( A );Streptococcus agalactiae;2.24;Streptococcus agalactiae;2.22;
20af9bcc-f4cb-4ce2-922e-b74ba5ae4851;( ++ );( A );Staphylococcus epidermidis;2.08;Staphylococcus epidermidis;1.98;
20d91fd5-45b1-46b2-909a-28fa2a3632fd;( ++ );( A );Staphylococcus capitis;2.07;Staphylococcus capitis;1.96;
20ee1865-b09a-4fcd-bffa-837c5515f4fb;( +++ );( B );Proteus vulgaris;2.37;Proteus vulgaris;2.29;
20fb58cf-1ec7-4e93-be80-9963de233dcf;( +++ );( B );Streptococcus pyogenes;2.44;Streptococcus pyogenes;2.44;
20fc39bc-9b93-4519-9b39-0f375e24458c;( +++ );( B );Enterobacter cloacae;2.33;Enterobacter cloacae;2.27;
214bedd7-740b-4fc6-84e3-3e261bca5739;( + );( B );Staphylococcus epidermidis;1.93;Staphylococcus epidermidis;1.9;
215f5d50-e04d-482d-9b55-f3b508042118;( - );( C );not reliable identification;1.41;not reliable identification;1.4;
21621b14-7c2d-4dd6-a2f5-7b934488cb47;( + );( B );Streptococcus oralis;1.94;Streptococcus oralis;1.92;
216dbf5b-d493-4967-9526-e20aa9065e4c;( - );( C );no peaks found ;<0;no peaks found ;<0;
2180bcac-ae93-4a02-bd43-c9370db96e80;( +++ );( B );Escherichia coli;2.33;Escherichia coli;2.21;
21be97ee-2c92-44d1-a2f7-16ba403cc2c6;( +++ );( A );Corynebacterium propinquum;2.45;Corynebacterium propinquum;2.39;
22410270-7d91-4d35-a3b9-21f94d0e1e52;( ++ );( A );Staphylococcus haemolyticus;2.12;Staphylococcus haemolyticus;2.08;
2288c6e3-9b87-46b6-bb91-2003b7449935;( +++ );( A );MIX!Aerococcus urinae;2.57;Aerococcus urinae;2.13;
22947d58-6457-4e47-b9ad-705778bc3b24;( +++ );( B );Klebsiella variicola;2.4;Klebsiella variicola;2.38;
231534d1-153e-45e9-86db-45212e6d91ae;( + );( B );Propionibacterium granulosum;1.85;Propionibacterium granulosum;1.85;
232b65bb-c8ff-4fe1-9350-75ee6b590482;( +++ );( A );Enterococcus faecalis;2.39;Enterococcus faecalis;2.36;
242bec59-f2e4-4ebb-acfd-1e9e795dfe2c;( + );( B );Staphylococcus epidermidis;1.91;Staphylococcus epidermidis;1.78;
2453308f-7be2-48b1-b8db-8e1a7cd7c15c;( +++ );( A );Proteus mirabilis;2.47;Proteus mirabilis;2.28;
2489c9d3-941b-4a19-b90d-7b4e903e46bb;( +++ );( A );MIX!Neisseria cinerea;2.53;Neisseria cinerea;2.52;
24e3e3bc-22f0-4f07-a9a9-5859889c5957;( - );( C );not reliable identification;1.21;not reliable identification;1.19;
2594fb5a-e3a2-46cc-8525-12dc7390f516;( +++ );( A );Streptococcus agalactiae;2.39;Streptococcus agalactiae;2.35;
25b08186-f028-4c00-ada6-a434d81635e4;( +++ );( A );Streptococcus pyogenes;2.34;Streptococcus pyogenes;2.34;
26119339-cc84-43b7-bccb-b22305cc9e5c;( +++ );( B );Escherichia coli;2.42;Escherichia coli;2.38;
265fcd5e-ebba-4fb6-ad12-35661cf9c422;( ++ );( A );Staphylococcus aureus;2.16;Staphylococcus aureus;2.13;
274af885-56f0-4f59-b6cf-0f624292309f;( + );( B );Aerococcus urinae;1.86;Aerococcus urinae;1.77;
275c162f-1651-4df9-994f-6e1bae9cb6cd;( ++ );( A );Citrobacter koseri;2.29;Citrobacter koseri;2.28;
27e9441e-bc04-4d7b-826f-ed41a53daa04;( +++ );( A );Corynebacterium pseudodiphtheriticum;2.59;Corynebacterium pseudodiphtheriticum;2.49;
28154236-93a9-425a-8a0a-790b647000bc;( ++ );( A );Candida glabrata;2.11;Candida glabrata;2.01;
282a37d1-f6a9-4532-aa3c-6f7e8337374e;( +++ );( A );Escherichia coli;2.42;Escherichia coli;2.3;
28af45ff-7cc4-487f-9db1-44f3ff7731f9;( ++ );( A );Staphylococcus epidermidis;2.01;Staphylococcus epidermidis;1.85;
28df78f1-879d-4735-a97b-7ff9017b7607;( ++ );( A );Staphylococcus lugdunensis;2.1;Staphylococcus lugdunensis;1.91;
2921dfdb-256b-4f8e-abed-b1aff41537da;( ++ );( A );Pseudomonas aeruginosa;2.26;Pseudomonas aeruginosa;2.2;
2925ff7c-a87b-446d-a8d7-210dff44739f;( +++ );( B );Enterobacter cloacae;2.35;Enterobacter cloacae;2.27;
299eded8-8006-4e5c-9be2-315beaeaa663;( +++ );( C );MIX!Enterococcus faecium;2.32;Enterococcus faecium;2.32;
29a5ecab-4e63-4e66-920c-cecc4b638b7a;( + );( B );Kocuria marina;1.76;not reliable identification;1.31;
2a2d2d60-18e4-4634-bbd6-7efed232f1c4;( ++ );( A );Staphylococcus aureus;2.2;Staphylococcus aureus;2.1;
2b9e4252-b042-4d51-83f8-23514169c237;( - );( C );not reliable identification;1.66;not reliable identification;1.5;
2cd1f2dd-21f5-43ea-93a9-1041c869cb5f;( - );( C );no peaks found ;<0;no peaks found ;<0;
2cdbc702-35ab-4fba-9bad-7e7e95fe8919;( +++ );( A );Citrobacter koseri;2.43;Citrobacter koseri;2.34;
2d18567a-379a-4615-beff-9d3833718ede;( ++ );( A );Staphylococcus epidermidis;2.06;Staphylococcus epidermidis;1.93;
2d6a348e-ed03-4f11-9138-eb265b26c1eb;( ++ );( B );Enterobacter cloacae;2.25;Enterobacter kobei;2.22;
2dda6dfb-c463-470c-ac43-c722ca46c519;( +++ );( A );Enterococcus avium;2.31;Enterococcus avium;2.25;
2dec5cec-6f89-4bda-a181-a18b7ce4605a;( +++ );( C );Klebsiella oxytoca;2.44;Klebsiella oxytoca;2.42;
2e1d381d-96f5-417e-9182-abe32cf3ffd9;( ++ );( A );Escherichia coli;2.13;Escherichia coli;2.12;
2e2efbb7-9f36-478c-998a-ef4451d85860;( + );( B );Staphylococcus epidermidis;1.94;Staphylococcus epidermidis;1.89;
2fa612ee-8dac-487a-a0a9-d8397d93a05c;( - );( C );not reliable identification;1.54;not reliable identification;1.53;
30b98f61-88fd-4a7c-9347-293b865ac0da;( +++ );( A );Escherichia coli;2.47;Escherichia coli;2.43;
31277b2d-bddd-4c5a-8cf4-d98255a7fd69;( +++ );( A );Actinotignum schaalii;2.42;Actinotignum schaalii;2.13;
314774db-6951-4442-92cb-f083546affac;( - );( C );no peaks found ;<0;no peaks found ;<0;
314fceae-b1a4-4b2c-98fb-bd686325c61a;( + );( B );Candida glabrata;1.94;Candida glabrata;1.87;
31649c8e-689a-44af-8020-122fa13d1b8d;( - );( C );not reliable identification;1.38;not reliable identification;1.36;
31e530a2-823b-4271-aa02-7e42b34bdf67;( +++ );( A );Providencia rettgeri;2.36;Providencia rettgeri;2.34;
32a67210-5717-47d6-8966-a993eddba8f8;( +++ );( A );MIX!Neisseria mucosa;2.37;Neisseria mucosa;2.37;
32b42dd0-a742-4e72-b6e6-46181c3cdc70;( +++ );( A );Staphylococcus lugdunensis;2.4;Staphylococcus lugdunensis;2.3;
32cbfcc2-64b0-49de-a37a-6edfe17ee9e1;( ++ );( B );Streptococcus dysgalactiae;2.22;Streptococcus dysgalactiae;2.19;
33509050-a40f-4227-8a11-d4b39dd7faaf;( +++ );( A );Haemophilus influenzae;2.45;Haemophilus influenzae;2.43;
335b7b6e-5d52-4980-822f-9f2b360710a6;( ++ );( A );Streptococcus anginosus;2;Streptococcus anginosus;1.94;
33e18a9a-2350-4f40-a2e6-fc2014842479;( +++ );( B );MIX!Haemophilus influenzae;2.41;Haemophilus influenzae;2.08;
33e79ac1-2cd2-4af2-950b-24b29a4a93ed;( +++ );( A );Staphylococcus hominis;2.3;Staphylococcus hominis;2.29;
341450f2-30a2-4e3a-b7b8-4ff741c8f07c;( ++ );( A );Escherichia coli;2.22;Escherichia coli;2.21;
3448f6e6-3e30-4066-a27f-9e48a755f11b;( ++ );( A );Staphylococcus caprae;2.29;Staphylococcus caprae;2.26;
348f625b-3fe1-48bb-ab43-2036106ed9d5;( ++ );( A );Staphylococcus epidermidis;2.09;Staphylococcus epidermidis;2.03;
348f9561-b35e-4530-8e9c-118460bd081c;( +++ );( C );Klebsiella oxytoca;2.31;Klebsiella oxytoca;2.23;
34d759f2-61b8-4313-baea-125f49740791;( ++ );( A );Escherichia coli;2.28;Escherichia coli;2.21;
35011071-92de-4bc0-9c31-7ec3155d62e3;( ++ );( A );Staphylococcus haemolyticus;2.26;Staphylococcus haemolyticus;2.07;
353c6a8f-df2e-4004-a740-647b063f79f2;( + );( B );Staphylococcus epidermidis;1.87;Staphylococcus epidermidis;1.75;
3572f185-15c8-43ef-9351-c14a91ac690e;( ++ );( B );MIX!Aeromonas veronii;2.27;Aeromonas veronii;2.11;
35967acc-4091-472e-98ba-affaeb0988e8;( +++ );( A );Corynebacterium pseudodiphtheriticum;2.52;Corynebacterium pseudodiphtheriticum;2.47;
36241d5b-b6a3-48a8-8fb1-82b85fe4f7da;( +++ );( A );MIX!Neisseria cinerea;2.53;Neisseria cinerea;2.28;
3653e94a-4431-427f-9b0c-d536309d5664;( ++ );( A );Staphylococcus epidermidis;2;Staphylococcus epidermidis;1.94;
36acf24c-57e9-4a23-a6d5-f22e273fe6ab;( - );( C );not reliable identification;1.69;not reliable identification;1.56;
36b44e7b-1671-4a46-bd88-0489bf24a717;( +++ );( A );Pseudomonas aeruginosa;2.33;Pseudomonas aeruginosa;2.32;
36badb0e-10b4-4391-a61f-43071d6cee46;( +++ );( B );Streptococcus gallolyticus;2.36;Streptococcus gallolyticus;2.21;
379e3abe-c5b2-4f92-8f2f-0c9dd0a2c7b0;( ++ );( A );Staphylococcus aureus;2.27;Staphylococcus aureus;2.24;
37ac17bb-260a-4cf7-ba04-bf082286c89c;( - );( C );not reliable identification;1.19;not reliable identification;1.15;
381af6f0-3629-4843-b31a-6019170aebd6;( + );( B );Staphylococcus epidermidis;1.96;Staphylococcus epidermidis;1.95;
38992f6c-6d1b-48aa-9ef0-bf84a6fb7350;( +++ );( A );Enterococcus faecium;2.36;Enterococcus faecium;2.13;
38ab129b-ec85-4639-acdb-adebd3c2fee5;( +++ );( A );Proteus mirabilis;2.6;Proteus mirabilis;2.42;
38ac7191-4c50-4f7d-96e3-f6badddcd973;( ++ );( A );Staphylococcus epidermidis;2.19;Staphylococcus epidermidis;2.18;
38bc1188-540e-43d5-a1dc-24d3038552b3;( ++ );( A );Enterococcus faecalis;2.23;Enterococcus faecalis;2.21;
3903f4e6-3c78-4e8e-b192-67c7782e8b0c;( ++ );( A );Acinetobacter pittii;2.11;Acinetobacter pittii;2.03;
3a1294a2-c0ba-4ee9-b6a2-36659bde9590;( ++ );( A );Escherichia coli;2.28;Escherichia coli;2.26;
3a364fbd-bb26-4143-9bfb-7d0e27b08ca3;( ++ );( B );Streptococcus vestibularis;2.15;Streptococcus salivarius;2.05;
3a44b3f7-57cb-4d1f-901a-968fb128dbf6;( + );( B );Staphylococcus capitis;1.7;not reliable identification;1.63;
