003376ac-cc01-4c67-bb8e-b9d9860a2b66;( - );( C );no peaks found ;<0;no peaks found ;<0;
7f57713a-b651-4927-a40f-4184ee8014d3;( ++ );( A );Staphylococcus caprae;2.28;Staphylococcus caprae;2.27;
7fa72a3c-5029-4700-ab2c-7d1a5511dca9;( +++ );( B );Escherichia coli;2.33;Escherichia coli;2.29;
7fbd9fa9-4513-4dba-9ef1-2283d93632d4;( ++ );( A );Streptococcus mutans;2.08;Streptococcus mutans;1.87;
7fbe646d-db13-4eef-ae99-8e2274768f41;( - );( C );no peaks found ;<0;no peaks found ;<0;
80405c79-13d9-446e-818a-d752a74c7227;( +++ );( A );Streptococcus agalactiae;2.41;Streptococcus agalactiae;2.35;
804a002f-659d-4aea-92d7-bae3f37cb52f;( ++ );( A );Candida albicans;2.01;Candida albicans;1.92;
80a222c0-c7e2-4272-89e2-c63bee0c3405;( +++ );( B );Klebsiella pneumoniae;2.38;Klebsiella pneumoniae;2.37;
80de7d4f-2d3a-4621-8d82-e214e5fb4a66;( + );( B );Candida albicans;1.95;Candida albicans;1.95;
81338f33-34ba-4def-a8c7-d1a015a42f35;( + );( B );Streptococcus oralis;1.95;Streptococcus oralis;1.94;
819dab34-d238-4f9b-9540-f5c7e3ea7974;( +++ );( A );Staphylococcus aureus;2.32;Staphylococcus aureus;2.29;
81f0bfac-ec5d-4f1c-8c08-712c94d2edf7;( ++ );( C );Enterobacter kobei;2.19;Enterobacter asburiae;2.1;
82ae52ff-0a8b-4725-81ae-66e933b9cc80;( +++ );( A );Staphylococcus aureus;2.36;Staphylococcus aureus;2.34;
82c956ef-c7a7-4ad0-9160-87653923efa3;( ++ );( A );Staphylococcus caprae;2.09;Staphylococcus caprae;2.02;
82f6f107-4c18-48d5-829b-a4960e14ad90;( +++ );( A );Corynebacterium amycolatum;2.45;Corynebacterium amycolatum;2.33;
832bfc90-da59-4000-9f88-b6c1dd9b0965;( +++ );( A );Enterococcus faecalis;2.45;Enterococcus faecalis;2.41;
833e184e-7b6f-4cd3-8bd3-a6791def4da0;( ++ );( A );Staphylococcus epidermidis;2.07;Staphylococcus epidermidis;1.84;
83c4841c-45fb-43f8-bfed-457c66a0278e;( ++ );( A );Haemophilus parainfluenzae;2.08;Haemophilus parainfluenzae;1.74;
83f6c70b-1e15-4ad0-90d3-e15de417db31;( +++ );( A );Staphylococcus aureus;2.37;Staphylococcus aureus;2.26;
8412039a-39bd-4a52-aa6e-b79d3d596492;( +++ );( A );MIX!Pseudomonas aeruginosa;2.57;Pseudomonas aeruginosa;2.39;
843759ef-88f8-40f4-9851-42c3a7a43e95;( +++ );( A );Proteus mirabilis;2.36;Proteus mirabilis;2.26;
845be54c-7e45-4ae8-ad05-1b1efd6d6226;( +++ );( A );Proteus mirabilis;2.44;Proteus mirabilis;2.37;
84c769eb-cbfe-4138-adc8-f38bcf91ec08;( +++ );( A );Escherichia coli;2.41;Escherichia coli;2.39;
84d825a6-e6d6-42dc-aa9d-f422c3afd9a8;( ++ );( A );Streptococcus agalactiae;2.21;Streptococcus agalactiae;2.17;
8505b1a0-690c-49a6-ba7c-63bc2761655e;( +++ );( A );Actinomyces turicensis;2.47;Actinomyces turicensis;2.35;
856218aa-c83f-4a66-8fe3-2eaa7e961032;( +++ );( A );Enterococcus faecalis;2.41;Enterococcus faecalis;2.16;
85b18261-d705-4255-9447-ffbe16453c89;( - );( C );not reliable identification;1.51;not reliable identification;1.4;
85ccb50d-fc5a-467a-9e9b-9b868772fed8;( - );( C );no peaks found ;<0;no peaks found ;<0;
8651b678-1ac0-47cb-94a8-f0d27ff4ea13;( +++ );( A );Providencia rettgeri;2.41;Providencia rettgeri;2.34;
866234e1-e169-4eb6-83df-e3812ce8f100;( +++ );( A );Citrobacter koseri;2.45;Citrobacter koseri;2.36;
87649382-7e52-411a-9597-1581e7ecb35e;( +++ );( B );MIX!Neisseria subflava;2.58;Neisseria subflava;2.55;
880d056a-f846-4bc8-82c1-4b7ec542cb60;( ++ );( A );Candida albicans;2.12;Candida albicans;2.06;
882bf900-8210-42f8-9059-54812d94d77e;( ++ );( A );Pseudomonas aeruginosa;2.26;Pseudomonas aeruginosa;2.24;
8a5aa2b0-9318-4cff-9131-166dbb0f0169;( +++ );( A );Streptococcus canis;2.5;Streptococcus canis;2.46;
8a85ab7e-15b3-454b-8f0a-cffd61fc1a32;( ++ );( A );Escherichia coli;2.02;Escherichia coli;1.97;
8abb075b-e40f-4410-a579-6302732c9a84;( ++ );( B );Escherichia coli;2.22;Escherichia coli;2.19;
8ae89d4d-a970-403a-b96b-d6225399f2c5;( ++ );( C );Enterobacter cloacae;2.2;Enterobacter cloacae;2.16;
8bdb4baf-1d98-4cc1-bd18-826f878eb3f8;( +++ );( A );Morganella morganii;2.67;Morganella morganii;2.6;
8c1b941b-29fd-4984-b694-1a84e4da3408;( ++ );( A );Streptococcus anginosus;2.2;Streptococcus anginosus;2.15;
8c625c57-1c44-456c-9b86-f7e1892826d9;( ++ );( A );Staphylococcus aureus;2.28;Staphylococcus aureus;2.28;
8cb5f46f-ab4c-4bf9-964d-8560b4771744;( +++ );( A );Enterococcus faecalis;2.32;Enterococcus faecalis;2.29;
8d09e857-6f3f-441d-b09d-7031b737128e;( ++ );( A );Staphylococcus epidermidis;2.1;Staphylococcus epidermidis;2.03;
8d9a8126-8338-425d-bdaa-ecb15822f46f;( +++ );( A );Staphylococcus aureus;2.4;Staphylococcus aureus;2.29;
8de87ce0-bc2b-4d07-aae6-1442d6b7762b;( ++ );( B );Streptococcus dysgalactiae;2.15;Streptococcus dysgalactiae;2.11;
8df59105-ab3d-4125-8694-4d01f02dd170;( ++ );( A );Escherichia coli;2.12;Escherichia coli;2.08;
8e02841d-0bc4-4b69-a44b-3dffb0f1b51b;( ++ );( A );Aerococcus urinae;2.04;Aerococcus urinae;2;
8e83bb43-da75-4446-9010-89bdc0077ff8;( ++ );( A );Staphylococcus caprae;2.21;Staphylococcus caprae;2.03;
8ed75655-717e-4939-94cc-ef5c47dbeae8;( +++ );( A );Staphylococcus aureus;2.37;Staphylococcus aureus;2.32;
8fa96788-abc4-473c-bc3b-368f482b2890;( +++ );( B );Citrobacter koseri;2.33;Citrobacter koseri;2.31;
8fcec632-331f-4006-b898-e1fd3dd49a4c;( +++ );( A );Enterococcus faecalis;2.46;Enterococcus faecalis;2.45;
8fdd996c-152d-418b-95a2-e1755a004ea7;( ++ );( A );Staphylococcus aureus;2.21;Staphylococcus aureus;2.05;
8fdf1c5b-f1b8-4cb2-818f-d344ec3a8fc6;( +++ );( B );Enterobacter cloacae;2.33;Enterobacter cloacae;2.28;
9020ae79-81a1-4ee8-a610-b149e41098ec;( - );( C );not reliable identification;1.62;not reliable identification;1.54;
91217341-a7a7-4bf1-a422-bdb1ea4bdc8f;( - );( C );no peaks found ;<0;no peaks found ;<0;
91799171-2994-417d-8e7d-b90975a4580f;( ++ );( C );Enterobacter cloacae;2.16;Enterobacter kobei;2.14;
91f7e2ea-0956-4c93-9ab4-fd2891d2da35;( + );( B );Aerococcus urinae;1.97;Aerococcus urinae;1.96;
9296a57f-71b0-4250-bf29-9f731de51316;( ++ );( A );Corynebacterium aurimucosum;2.14;Corynebacterium aurimucosum;2.13;
92f8d347-a849-40df-a31e-c0495fe90ec5;( + );( B );Aerococcus urinae;1.94;Aerococcus urinae;1.83;
9312fecd-a696-4910-ac6a-46f5f6e750ff;( ++ );( A );Staphylococcus epidermidis;2.06;Staphylococcus epidermidis;2.03;
93a7b520-7e0b-436b-8d85-b9b14333ef58;( ++ );( A );Escherichia coli;2.24;Escherichia coli;2.14;
95415c34-b95c-45ed-a9e9-c30577595aa8;( +++ );( B );Escherichia coli;2.37;Escherichia coli;2.33;
95797b08-a0ee-49fa-89c3-1afe0b59fea9;( ++ );( A );Streptococcus oralis;2.12;Streptococcus oralis;2.1;
95f8fb1f-a60e-4a15-9069-b880fa6f169d;( +++ );( A );Prevotella bergensis;2.31;Prevotella bergensis;2.15;
961033e3-57b8-4584-baa7-efc12a8a1910;( +++ );( B );Streptococcus dysgalactiae;2.48;Streptococcus dysgalactiae;2.35;
9669d172-6967-464e-a440-500cc67a1f29;( +++ );( A );Haemophilus influenzae;2.44;Haemophilus influenzae;2.22;
969690a3-ef39-495a-89be-922081e76b75;( ++ );( A );Staphylococcus epidermidis;2.19;Staphylococcus epidermidis;2.03;
96b24d29-f907-4cf2-b234-d50cc02274da;( +++ );( A );Streptococcus anginosus;2.4;Streptococcus anginosus;2.37;
975592b3-3df5-4719-8091-7d6b17f8d681;( ++ );( A );Escherichia coli;2.15;Escherichia coli;2.14;
979ad391-4c53-4567-9d12-1c6305434e0c;( +++ );( A );Citrobacter koseri;2.41;Citrobacter koseri;2.4;
979ef296-a9e1-426e-9ff9-5264a232e809;( ++ );( A );Actinomyces odontolyticus;2.07;Actinomyces odontolyticus;2.01;
97d4d153-8b8e-4a27-ac9b-b5670013aa9a;( +++ );( A );Staphylococcus aureus;2.36;Staphylococcus aureus;2.33;
9980ba02-f4f3-44f8-8189-5193f7410c53;( ++ );( A );Enterococcus avium;2.2;Enterococcus avium;2.14;
99bfd4cd-9d4d-4c69-bf76-a09574423b8a;( ++ );( A );MIX!Stenotrophomonas maltophilia;2.27;Stenotrophomonas maltophilia;2.16;
9a0941d9-f0dc-4337-abd6-f2631b785de2;( + );( B );Candida albicans;1.95;Candida albicans;1.89;
9a604f9d-ff6a-4001-a417-2f6887468d1d;( +++ );( A );Streptococcus agalactiae;2.34;Streptococcus agalactiae;2.19;
9a7c7afb-b233-4c09-b2b2-712bec971834;( ++ );( A );Escherichia coli;2.27;Escherichia coli;2.19;
9b0154bc-2439-46d8-b7d3-98374e00a8e1;( +++ );( A );Pseudomonas aeruginosa;2.43;Pseudomonas aeruginosa;2.38;
9ba98720-8549-4914-8cd8-bce410a2bc4d;( ++ );( A );Saccharomyces cerevisiae;2;Saccharomyces cerevisiae;1.98;
9c053c0c-8dd5-4ccf-9fdb-eab057560b85;( +++ );( A );Pseudomonas aeruginosa;2.33;Pseudomonas aeruginosa;2.29;
9c11945e-fc66-479f-a893-a743d2d8bc79;( - );( C );not reliable identification;1.63;not reliable identification;1.6;
9c258ce3-d8c8-4252-ba3d-bf19155c7e32;( +++ );( B );Citrobacter koseri;2.36;Citrobacter koseri;2.35;
9c69a833-339f-4ef0-82ec-887dba690ff8;( ++ );( A );Streptococcus agalactiae;2.16;Streptococcus agalactiae;2.15;
9cb5a696-dfca-44e7-bbbf-1598a2b2ff0b;( +++ );( A );Enterococcus faecium;2.47;Enterococcus faecium;2.44;
9d143507-9aca-4d05-92e1-44498dc5bb62;( + );( B );Streptococcus gordonii;1.84;Streptococcus gordonii;1.83;
9e5dba83-7e58-4b24-b3ad-02e555b1c990;( ++ );( A );Enterococcus faecalis;2.19;Enterococcus faecalis;2.12;
9e7aecf6-75a1-4524-889c-113085619ec1;( + );( B );Prevotella bivia;1.92;Prevotella bivia;1.88;
9e91630e-f771-4d9d-9876-da3e9b21d728;( +++ );( A );Escherichia coli;2.54;Escherichia coli;2.5;
9f02c3fe-1bc9-418d-8cd6-06cb8fc9455b;( +++ );( A );Escherichia coli;2.37;Escherichia coli;2.35;
9f131d2c-1e6a-46c2-90e7-dc6bacea45ce;( ++ );( A );Candida albicans;2.1;Candida albicans;2.08;
9ff6efde-44b0-44a6-97c2-81684e88778e;( + );( B );Prevotella bivia;1.96;Prevotella bivia;1.87;
a0eb84f6-2c94-491d-b623-efc3416f4c56;( ++ );( A );Aerococcus urinae;2.02;Aerococcus urinae;1.85;
a0f4d8a7-d1e9-4a66-a182-bb3bfa4bae67;( ++ );( A );Lactobacillus salivarius;2.29;Lactobacillus salivarius;1.9;
a11d78fe-e540-4284-bf87-7d5f6ad54f6c;( + );( B );Streptococcus mitis;1.92;Streptococcus mitis;1.87;
a1a06a7a-6d11-4d58-9184-da0c7ca8cb3b;( +++ );( A );Staphylococcus aureus;2.35;Staphylococcus aureus;2.34;
a1a930ac-7c37-4f5d-88e2-637c1a46765a;( +++ );( A );MIX!Staphylococcus aureus;2.45;Staphylococcus aureus;2.29;
a1eb633e-2098-4e18-9b6f-1c9c7a314b8c;( +++ );( B );Enterobacter cloacae;2.3;Enterobacter asburiae;2.13;
a21e7ae8-87b2-4612-82a3-12dcf34b4de4;( +++ );( A );Staphylococcus lugdunensis;2.47;Staphylococcus lugdunensis;2.34;
a260a55f-90d8-411f-913e-f126122db944;( ++ );( A );Staphylococcus aureus;2.24;Staphylococcus aureus;2.23;
a2aec51d-7024-4b2b-b965-e9957ffe5379;( +++ );( A );MIX!Neisseria cinerea;2.43;Neisseria cinerea;2.41;
a2cb24d1-0d32-4598-b6b2-88c485cab614;( +++ );( A );Pseudomonas aeruginosa;2.36;Pseudomonas aeruginosa;2.29;
a2ebc761-9a62-4ea1-9b02-3f7db0ee55f3;( - );( C );not reliable identification;1.29;not reliable identification;1.28;
a2f84008-b49b-4ec6-9409-a7dcca3c80b0;( +++ );( B );Neisseria subflava;2.33;Neisseria subflava;2.18;
a3f4cc9c-6b47-4b51-97d5-42005cb7aa3d;( ++ );( A );Enterococcus avium;2.12;Enterococcus avium;2.03;
a436fc21-b3eb-4e25-b81d-edf9c5be58cf;( +++ );( A );Bacteroides fragilis;2.34;Bacteroides fragilis;2.32;
a4652fa9-f38f-467a-9c7b-b317694509e1;( + );( B );Candida albicans;1.92;Candida albicans;1.9;
a4b92d26-dbed-4785-bf1e-a68e6d9a8003;( +++ );( A );Staphylococcus aureus;2.37;Staphylococcus aureus;2.29;
a4df29d0-c43c-4e64-a057-2efb223516fd;( +++ );( A );Haemophilus influenzae;2.31;Haemophilus influenzae;2.21;
a4f69604-2955-44c5-a78f-49119b02d949;( ++ );( A );Staphylococcus hominis;2.07;Staphylococcus hominis;1.99;
a5221682-6474-4b77-804b-1960763d4057;( ++ );( A );Candida krusei;2.12;Candida krusei;2.06;
a5535bd3-692b-4db5-83ca-ec3e5b415156;( ++ );( A );Haemophilus influenzae;2.18;Haemophilus influenzae;2.14;
a61cc675-4e38-403f-b03b-c2dc2181d187;( +++ );( A );MIX!Neisseria subflava;2.57;Neisseria subflava;2.53;
a6b3819e-5040-4139-8b04-3ca41a12a67a;( ++ );( A );Candida glabrata;2.08;Candida glabrata;2.01;
a7233d1d-29d9-43e3-9b13-9af20ac18118;( ++ );( A );Staphylococcus epidermidis;2.14;Staphylococcus epidermidis;1.96;
a7545a17-2fc0-4ebd-8605-7243d96deaa6;( ++ );( A );Staphylococcus aureus;2.26;Staphylococcus aureus;2.22;
a77bd9b3-fa58-4866-8b2f-fa7a650b05d8;( +++ );( A );Pseudomonas aeruginosa;2.36;Pseudomonas aeruginosa;2.35;
a7b5f055-6f21-44d9-b0f6-046602770660;( + );( B );Trichosporon asahii;1.93;Trichosporon asahii;1.91;
a804be88-ad7a-4ee6-878e-84a32b452e5e;( ++ );( A );Staphylococcus epidermidis;2.17;Staphylococcus epidermidis;1.78;
aa0271ea-9d8a-4ed3-941c-4ba25022cccd;( ++ );( A );Streptococcus pyogenes;2.29;Streptococcus pyogenes;2.26;
aa408d4a-9186-4bb0-b79d-96cfc144f323;( ++ );( A );Staphylococcus aureus;2.22;Staphylococcus aureus;2.2;
aaa36383-1367-4304-bd18-c033e6511454;( ++ );( A );Escherichia coli;2.1;Escherichia coli;2.08;
ab4a8468-f13e-49e0-99b6-f71e4f61fdc7;( - );( C );not reliable identification;1.65;not reliable identification;1.41;
ab81485d-c0f2-4981-8458-8f8e464fb828;( ++ );( A );Staphylococcus aureus;2.25;Staphylococcus aureus;2.24;
abd2e10d-b917-4994-a969-5659995275d6;( +++ );( A );Citrobacter koseri;2.43;Citrobacter koseri;2.4;
abf5fd08-b6a6-45f1-9f2a-4f91f8127d86;( +++ );( B );Escherichia coli;2.38;Escherichia coli;2.3;
ac3336f4-911d-4af9-989e-b4773a8aea64;( + );( B );Candida albicans;1.85;Candida albicans;1.78;
ac761dbd-09f1-426a-a873-bb3a552f8688;( ++ );( A );Staphylococcus capitis;2.23;Staphylococcus capitis;2.19;
ad0df3ce-f0c7-430c-83f8-034a78f19855;( +++ );( A );Streptococcus agalactiae;2.32;Streptococcus agalactiae;2.3;
ad123ff8-36f0-44a9-9714-98b199252b9e;( ++ );( A );Staphylococcus aureus;2.27;Staphylococcus aureus;2.19;
ad923a70-4d4e-43dd-afd8-b7c312b36202;( ++ );( A );Staphylococcus xylosus;2.17;Staphylococcus xylosus;2.12;
ad97be82-e9c5-427b-95c0-330914d05891;( ++ );( A );Candida glabrata;2.06;Candida glabrata;1.97;
adc365c2-ddae-423d-8a89-1eeef930cef0;( + );( B );Dermabacter hominis;1.98;Dermabacter hominis;1.98;
ade57d01-0ae7-4b61-bacd-ca4a5c26d742;( +++ );( A );Escherichia coli;2.33;Escherichia coli;2.16;
ae31eee8-10ec-4c31-82b6-3abf1973b630;( - );( C );no peaks found ;<0;no peaks found ;<0;
ae978c1c-53ed-4863-84ba-f98f795eeb0e;( ++ );( A );Staphylococcus epidermidis;2.21;Staphylococcus epidermidis;2.03;
afa06e81-7ab7-428d-a213-f7c87306171f;( - );( C );not reliable identification;1.66;not reliable identification;1.59;
b09d46b8-bc80-432a-a0cd-f6c52f78e51b;( +++ );( B );Escherichia coli;2.4;Escherichia coli;2.31;
b10cabdd-c1c3-45f6-8480-6f9866ec9914;( +++ );( A );Proteus mirabilis;2.36;Proteus mirabilis;2.28;
b1248d75-6560-48da-b01e-6b6d7fcd03d5;( +++ );( A );Morganella morganii;2.56;Morganella morganii;2.49;
b15660f2-3770-4408-bf00-76f8162d90a9;( ++ );( A );Candida krusei;2.22;Candida krusei;2.02;
b15afa75-dc03-4c06-9808-d59c347595b0;( +++ );( A );Staphylococcus aureus;2.39;Staphylococcus aureus;2.34;
b1af07b8-567f-49ff-a8d4-90b517f30c62;( - );( C );not reliable identification;1.68;not reliable identification;1.67;
b1c601f4-5c32-4375-b1bd-869ea63d92b9;( +++ );( A );Streptococcus agalactiae;2.31;Streptococcus agalactiae;2.3;
b1df335d-b611-4f20-805b-de5527eab505;( - );( C );no peaks found ;<0;no peaks found ;<0;
b2b5c40e-8e4c-4d97-b8bf-cd18e4eaf628;( ++ );( A );Staphylococcus epidermidis;2.27;Staphylococcus epidermidis;2.21;
b2fe0da2-4f87-4f28-a32c-97e8a0d6efae;( ++ );( A );Escherichia coli;2.29;Escherichia coli;2.28;
b3188882-0aeb-4ae7-af3b-0b0a42452ae3;( ++ );( A );Candida albicans;2.17;Candida albicans;2.13;
b3b6d0dc-71a5-4fa9-adce-bd27d202c55b;( +++ );( B );Klebsiella pneumoniae;2.4;Klebsiella pneumoniae;2.37;
b3d93711-4d96-41ad-b8ff-b002acd4090e;( ++ );( A );Gemella haemolysans;2.1;Gemella haemolysans;2.07;
b4349058-b4ec-46c7-ba00-891e2d0e0654;( ++ );( A );Staphylococcus aureus;2.1;Staphylococcus aureus;2.09;
b4ae4bc4-ed09-4672-86cf-add2384e33d3;( - );( C );no peaks found ;<0;no peaks found ;<0;
b5c69530-0cdc-45c8-8a70-b47a2c13488d;( +++ );( A );Enterococcus faecalis;2.3;Enterococcus faecalis;2.29;
b713abc8-d848-4b21-96f9-265e55975d10;( +++ );( A );Enterococcus faecalis;2.38;Enterococcus faecalis;2.25;
b72fd3d7-f659-4ec4-a34a-75245c085d09;( ++ );( A );Staphylococcus aureus;2.24;Staphylococcus aureus;2.1;
b872726a-46ae-4d4f-88ec-c4dc28a3f249;( +++ );( A );Enterococcus faecalis;2.39;Enterococcus faecalis;2.29;
b93bbe00-d406-4a7d-9713-191594b3a7e7;( ++ );( A );Enterococcus faecalis;2.16;Enterococcus faecalis;2.13;
b96edea9-e6ab-48f4-b187-105976ea5bd7;( ++ );( A );Staphylococcus epidermidis;2.09;Staphylococcus epidermidis;2.08;
b9861885-2653-40b4-b68f-aae51280ff90;( ++ );( A );Escherichia coli;2.21;Escherichia coli;2.18;
b9a0757e-0915-40b5-b7e2-908173968c73;( ++ );( A );Escherichia coli;2.2;Escherichia coli;2.17;
b9a8f76a-329f-42cc-a72d-8e325c4df77d;( +++ );( A );Aerococcus sanguinicola;2.39;Aerococcus sanguinicola;2.32;
b9c62101-4a04-44dd-a1ce-4821c4b1eafc;( ++ );( A );Escherichia coli;2.12;Escherichia coli;2.08;
b9dc9ced-a249-4277-933e-edb5805b16ea;( +++ );( A );Escherichia coli;2.32;Escherichia coli;2.26;
ba7dc344-390f-4f53-bcc4-47ab1af27137;( +++ );( A );Klebsiella pneumoniae;2.31;Klebsiella pneumoniae;2.24;
ba80bcba-5274-425f-99f0-4d9f91501ebb;( ++ );( A );Escherichia coli;2.25;Escherichia coli;2.14;
ba9b8c50-93d4-40ff-ac01-3e37f8687fca;( +++ );( A );Enterococcus faecalis;2.3;Enterococcus faecalis;2.19;
bb3b1552-cfe2-4bd1-806e-c5a3a92c4fae;( ++ );( A );Streptococcus anginosus;2.02;Streptococcus anginosus;2.01;
bb8c19ff-f5ba-4b04-ba3f-e502fda3badb;( +++ );( A );Lactobacillus rhamnosus;2.3;Lactobacillus rhamnosus;2.23;
bb8ca3ca-4ba7-450c-885b-001ea1cff4a1;( ++ );( A );Candida glabrata;2.15;Candida glabrata;2.09;
bb956914-0f18-414e-9056-e765e0b96fd3;( ++ );( A );Escherichia coli;2.27;Escherichia coli;2.26;
bbf36a00-b06e-4bd3-a429-c3fbb520d542;( ++ );( A );Escherichia coli;2.28;Escherichia coli;2.24;
bc41f667-2d12-4593-a46f-1c92978d98be;( - );( C );no peaks found ;<0;no peaks found ;<0;
bc6436a4-26e5-454d-abf0-e1f951592036;( ++ );( A );Enterococcus faecalis;2.24;Enterococcus faecalis;2.21;
bcc6cf33-eb52-4c5e-866e-89b21dbf272a;( ++ );( A );Escherichia coli;2.25;Escherichia coli;2.21;
bcfd1b54-f9e9-42b7-8521-a6024159245c;( +++ );( A );Staphylococcus aureus;2.35;Staphylococcus aureus;2.32;
bd45dc56-40f2-40b9-aaef-f4999927a73d;( ++ );( B );Raoultella ornithinolytica;2.21;Raoultella ornithinolytica;2.13;
be20804f-b76e-43c8-a106-228f5eb7c42e;( - );( C );not reliable identification;1.31;not reliable identification;1.3;
be2e90cd-55bf-4d14-b756-04232030ce05;( ++ );( A );Enterococcus faecalis;2.1;Enterococcus faecalis;2.1;
be54ae1e-05b9-49e1-bc07-001bac7f0a0f;( ++ );( A );Haemophilus parainfluenzae;2.17;Haemophilus parainfluenzae;1.96;
be664eb1-f282-4bce-b089-b9c48ec08b65;( ++ );( A );MIX!Lactobacillus crispatus;2.27;Lactobacillus crispatus;1.94;
be791e76-3de2-4b96-9b6a-6ba619fbc9c7;( +++ );( B );Escherichia coli;2.33;Escherichia coli;2.28;
bf551ddd-e3ee-4e75-acae-3431e7e98f69;( ++ );( B );Neisseria subflava;2.27;Neisseria subflava;2.27;
bf992390-8223-4058-a685-9199f1dbfd7e;( ++ );( A );Staphylococcus epidermidis;2.24;Staphylococcus epidermidis;2.08;
bfc4d6bd-cf99-4ab6-b0c4-f828f63bea38;( +++ );( A );Citrobacter koseri;2.53;Citrobacter koseri;2.53;
bfd5f38e-149d-41c0-bece-6384f13ac15e;( +++ );( A );Morganella morganii;2.34;Morganella morganii;2.29;
bfe6cf74-a318-4ea3-8791-aa18e3a354f5;( ++ );( A );Staphylococcus hominis;2.2;Staphylococcus hominis;2.2;
c0643632-c67e-4acd-b174-6f70b0696ce1;( - );( C );no peaks found ;<0;no peaks found ;<0;
c13815d3-9772-4ed1-8eac-1f3428c3573b;( +++ );( A );Enterococcus faecalis;2.41;Enterococcus faecalis;2.41;
c1dae431-f200-4c88-9db8-11180ff79b76;( +++ );( C );Citrobacter koseri;2.36;Citrobacter koseri;2.34;
c1f48f85-d2ca-43d7-8f2f-2ced119b5b98;( +++ );( B );Escherichia coli;2.35;Escherichia coli;2.28;
c21c7b66-f214-46a6-935d-6d0f676564f7;( ++ );( A );Staphylococcus simulans;2.29;Staphylococcus simulans;2.25;
c25745ad-5531-47c3-9bb4-1f4d04f31fd6;( ++ );( A );Aerococcus urinae;2.22;Aerococcus urinae;1.95;
c2fb71d1-344c-440a-959d-e2316b6615cf;( +++ );( A );Enterococcus faecium;2.39;Enterococcus faecium;2.22;
c311fe5e-155e-4f07-b03c-32b50c8a81f3;( +++ );( B );Klebsiella pneumoniae;2.39;Klebsiella pneumoniae;2.32;
c32d8db7-fdbc-4602-a948-a1ad23df6868;( ++ );( A );Streptococcus mutans;2.03;Streptococcus mutans;1.92;
c362dec4-f6e7-43df-9b26-58dd015b540a;( +++ );( A );MIX!Staphylococcus aureus;2.49;Staphylococcus aureus;2.38;
c457da1d-7b7e-4132-854d-c3b1de2b610b;( ++ );( A );Enterococcus faecalis;2.19;Enterococcus faecalis;2.17;
c480f828-ce32-4c80-a075-859af5b96ac3;( +++ );( A );Providencia rettgeri;2.38;Providencia rettgeri;2.36;
c4dd3c63-013c-47dd-ac35-5e3bbb971780;( ++ );( A );Streptococcus equinus;2.22;Streptococcus lutetiensis;1.9;
c5725a6c-56e9-4802-b158-e47721b85747;( ++ );( A );Escherichia coli;2.25;Escherichia coli;2.23;
c5d1f83a-50c9-4c05-9c3c-b345dd36a38d;( +++ );( B );Proteus vulgaris;2.4;Proteus vulgaris;2.28;
c5ecfbbe-3a62-4a41-ac64-f7c0916f8f01;( +++ );( B );MIX!Aeromonas enteropelogenes;2.52;Aeromonas hydrophila;2.37;
c607601c-7f2c-4153-8f90-e6f8737e6566;( + );( B );Bacillus thuringiensis;1.98;Bacillus cereus;1.95;
