003376ac-cc01-4c67-bb8e-b9d9860a2b66;( - );( C );no peaks found ;<0;no peaks found ;<0;
c617b314-5516-49ba-abec-70d442a91e48;( +++ );( A );Enterococcus avium;2.32;Enterococcus avium;2.25;
c62d8d75-bd72-4e02-84cf-3cfd6368a31d;( ++ );( A );Staphylococcus aureus;2.06;Staphylococcus aureus;2.04;
c6d0440e-0253-439e-bd2a-cc0cd2882b2e;( ++ );( A );Lactobacillus rhamnosus;2.15;Lactobacillus rhamnosus;2.1;
c6e3cc4c-9aea-4739-a6f5-2036d5efdb31;( ++ );( A );Aggregatibacter aphrophilus;2.1;Aggregatibacter aphrophilus;2.03;
c708763d-7a68-45ba-9bdb-2eaab3837885;( +++ );( A );Escherichia coli;2.4;Escherichia coli;2.38;
c7925cf3-8538-482f-a290-35f6e6a5ef54;( - );( C );no peaks found ;<0;no peaks found ;<0;
c79567fa-08da-4ca8-a3f3-e9cdf8854e7e;( ++ );( B );Streptococcus pyogenes;2.22;Streptococcus dysgalactiae;2.11;
c7f1579d-ea1b-4555-b4bb-ad899f2d879a;( +++ );( A );Klebsiella variicola;2.39;Klebsiella variicola;2.36;
c7f91aac-4849-41d1-b3b2-106552900c9b;( ++ );( A );Staphylococcus epidermidis;2.11;Staphylococcus epidermidis;2.07;
c897ece2-4d36-4e61-90c4-1875a1d08c82;( ++ );( A );Escherichia coli;2.26;Escherichia coli;2.25;
c9071697-f853-4dc5-874d-cec6b1de77e9;( ++ );( B );Enterococcus avium;2.27;Enterococcus avium;2.17;
c978bb1b-a1c7-45af-88e9-fee2db36f22d;( +++ );( A );Escherichia coli;2.39;Escherichia coli;2.37;
c9b97a16-ac36-4c71-93c0-349e8894a92f;( +++ );( A );Streptococcus agalactiae;2.33;Streptococcus agalactiae;2.25;
ca1608d0-2170-4ef5-a2e2-0a65b326a0ad;( +++ );( A );Proteus mirabilis;2.47;Proteus mirabilis;2.38;
ca8de65a-fff8-4b9d-884b-59c87082d688;( - );( C );not reliable identification;1.5;not reliable identification;1.43;
cae84f7c-04e3-4b99-926e-d087af3a3764;( +++ );( C );Enterobacter aerogenes;2.36;Enterobacter aerogenes;2.26;
cb54511b-6450-4bd0-b253-15d2bbc06978;( - );( C );no peaks found ;<0;no peaks found ;<0;
cb8a2a93-b2ef-4589-835e-4a3553802eaa;( ++ );( A );Escherichia coli;2.23;Escherichia coli;2.19;
cbc4e546-3067-4cea-918e-5e6cbb176875;( +++ );( A );Morganella morganii;2.61;Morganella morganii;2.47;
cbe98791-8522-4274-8999-58ba405b0a45;( ++ );( A );Enterococcus faecalis;2.14;Enterococcus faecalis;2.11;
cbfa7a05-d7b8-46f7-9722-7ffaba8e22af;( +++ );( A );Hafnia alvei;2.43;Hafnia alvei;2.26;
cc1dfe71-771a-4565-9fc0-461cbd907460;( ++ );( A );Actinomyces odontolyticus;2.1;Actinomyces odontolyticus;1.82;
cc424b70-de84-40b3-b3b8-8f816b0caf95;( ++ );( A );Candida albicans;2.09;Candida albicans;2.02;
cd4ba026-8add-48aa-a30a-8430b471c7c1;( + );( B );Candida albicans;1.93;Candida albicans;1.81;
cd5dcc42-ac69-47f2-804e-eb60d10e092d;( +++ );( B );Klebsiella pneumoniae;2.34;Klebsiella pneumoniae;2.27;
cd858920-8a16-4eee-bda1-9a904b87d809;( + );( B );Helcococcus sueciensis;1.93;not reliable identification;1.49;
cdc3158f-e5f9-4121-bc60-f7295be74bfd;( ++ );( A );Staphylococcus aureus;2.09;Staphylococcus aureus;2.02;
ce6727b0-fc19-4d7a-88c4-8396ee4c7615;( +++ );( B );Klebsiella pneumoniae;2.39;Klebsiella pneumoniae;2.34;
ce81d66f-4a57-40a0-a327-acfcdd4ff90b;( +++ );( B );Citrobacter freundii;2.35;Citrobacter freundii;2.32;
ce9fbe79-774f-4c6b-881c-a18bba334b84;( ++ );( A );Staphylococcus hominis;2.08;Staphylococcus hominis;2.01;
ceb504b5-0b27-4bed-a1fa-d57f95a9d94f;( ++ );( A );Streptococcus anginosus;2.17;Streptococcus anginosus;2.05;
cecf82e3-cde5-43fa-bc9c-1b0410d31116;( +++ );( B );Escherichia coli;2.31;Escherichia coli;2.29;
cf27ef4e-005f-404f-a3ae-69da6bf52043;( - );( C );not reliable identification;1.24;not reliable identification;1.22;
cf42847e-4ac4-4c63-bcac-292d266e550a;( + );( B );Candida glabrata;1.87;Candida glabrata;1.81;
cfca4aeb-10a1-4434-b025-9523902d44c2;( +++ );( A );Proteus mirabilis;2.5;Proteus mirabilis;2.46;
d025a5ea-8a0d-4d8d-abd9-3606f02bcbad;( ++ );( A );Pseudomonas aeruginosa;2.27;Pseudomonas aeruginosa;2.23;
d0b73dc2-7826-4659-8127-8c3a89ed5299;( - );( C );no peaks found ;<0;no peaks found ;<0;
d3cf4aea-d5d1-4177-9ec8-017cf00771e7;( +++ );( A );Streptococcus oralis;2.3;Streptococcus oralis;2.29;
d3d159ae-02c8-4c5a-b9f5-f6b69beeb0e5;( ++ );( B );Enterobacter ludwigii;2.22;Enterobacter asburiae;2.17;
d3e95e2b-a5ee-401f-b642-40bdab5da551;( ++ );( A );Staphylococcus capitis;2.14;Staphylococcus capitis;2.12;
d3f8bf64-6438-443a-b7d0-f5be783453ee;( - );( C );not reliable identification;1.64;not reliable identification;1.63;
d455bff1-7e35-4b47-bf06-40fc92256697;( + );( B );Corynebacterium tuberculostearicum;1.83;Corynebacterium tuberculostearicum;1.75;
d4f40851-74c3-4889-9cae-d46016bd845a;( ++ );( A );Pediococcus pentosaceus;2.14;Pediococcus pentosaceus;2.08;
d50ae56e-19e5-4569-9353-a122be2a5ad1;( ++ );( A );Enterococcus faecalis;2.29;Enterococcus faecalis;2.28;
d5290381-ec63-412c-b6b7-854bad369a65;( +++ );( A );Staphylococcus aureus;2.5;Staphylococcus aureus;2.42;
d570b67f-0462-47ec-ad3e-ea19b1092533;( ++ );( A );Staphylococcus epidermidis;2.14;Staphylococcus epidermidis;2.12;
d5af6190-dd50-47b7-ac3f-b937e079f425;( ++ );( A );Staphylococcus epidermidis;2;Staphylococcus epidermidis;1.88;
d61d1ef4-a24f-461f-a3fe-02f8fdc0e3fb;( +++ );( A );Staphylococcus aureus;2.4;Staphylococcus aureus;2.33;
d637c522-84bf-4b12-8c55-edf0585285c3;( - );( C );not reliable identification;1.07;not reliable identification;1.05;
d6401856-7466-40eb-b620-e02c9ce3ec79;( ++ );( A );Escherichia coli;2.11;Escherichia coli;2.07;
d6859bd1-79c3-4148-a138-889d52a28ccf;( + );( B );Staphylococcus haemolyticus;1.95;Staphylococcus haemolyticus;1.94;
d6dacc87-c690-49e0-b9c1-44efb83cdae1;( ++ );( A );Streptococcus agalactiae;2.07;Streptococcus agalactiae;2;
d74cdb64-e39b-4a1d-9d64-451ebccb7e90;( +++ );( A );Escherichia coli;2.33;Escherichia coli;2.25;
d776ae61-d8cb-4874-9000-4679104bb8d9;( +++ );( A );Morganella morganii;2.63;Morganella morganii;2.53;
d797230a-808e-49ed-8bc7-9b212b223d9f;( +++ );( A );MIX!Bacteroides ovatus;2.44;Bacteroides ovatus;2.11;
d7bbdaf4-967f-493f-af73-23009a3b804b;( +++ );( B );Lactobacillus gasseri;2.36;Lactobacillus gasseri;2.34;
d7df1e7b-a242-4fad-a5cf-be40176347aa;( +++ );( A );Klebsiella variicola;2.31;Klebsiella variicola;2.31;
d7f39d75-7b51-44d6-bb12-609e9e954c68;( +++ );( A );Enterococcus faecalis;2.46;Enterococcus faecalis;2.43;
d9313749-0668-47fd-8a7e-a6b880463943;( +++ );( A );Enterococcus faecalis;2.36;Enterococcus faecalis;2.26;
d9859db5-f986-4476-80e4-355a36ab4063;( +++ );( A );MIX!Haemophilus influenzae;2.59;Haemophilus influenzae;2.53;
da2bb39f-289d-4585-8ead-f972e6a3e62f;( - );( C );not reliable identification;1.53;not reliable identification;1.4;
da5fb89f-2763-4985-abf6-09dcb377177c;( ++ );( A );Staphylococcus epidermidis;2.04;Staphylococcus epidermidis;1.98;
dac37d1f-dc78-4056-8798-783952d546a7;( - );( C );no peaks found ;<0;no peaks found ;<0;
dba2afac-b5e3-4137-902c-d4d394ef52f1;( - );( C );no peaks found ;<0;no peaks found ;<0;
dbd75ef5-a431-44b9-a58f-b4e71d4c5f6d;( +++ );( A );Staphylococcus aureus;2.45;Staphylococcus aureus;2.39;
dbe1e44f-1ffb-412d-9dae-efa2f556a717;( ++ );( A );Aerococcus urinae;2.06;Aerococcus urinae;1.87;
dc3cc076-7e71-42f2-8c4e-34bbba35445f;( ++ );( A );Staphylococcus haemolyticus;2.18;Staphylococcus haemolyticus;2.14;
dc7798b6-a227-4285-93c1-b6118de4b6fe;( ++ );( A );Enterococcus faecalis;2.09;Enterococcus faecalis;1.98;
dcadc60e-e945-4a14-a497-52ed670940be;( ++ );( A );Enterococcus faecalis;2.27;Enterococcus faecalis;2.26;
dcb75c93-e1ef-480c-b14f-1f82bd5a8716;( - );( C );not reliable identification;1.24;not reliable identification;1.23;
dd3b477c-7f92-4eca-8517-9477356a544d;( ++ );( A );Staphylococcus simulans;2.2;Staphylococcus simulans;2.16;
dd7f9a46-635c-4a1d-b897-a9b5119fba1d;( ++ );( B );Enterobacter cloacae;2.21;Enterobacter kobei;2.18;
dda7a1d9-3b60-48ad-85d4-272ec269743c;( ++ );( A );Streptococcus dysgalactiae;2.16;Streptococcus dysgalactiae;2.07;
ddc9563b-84d5-46aa-9b91-252ebce99975;( +++ );( C );MIX!Streptococcus constellatus;2.54;Streptococcus constellatus;2.48;
de2ccea6-f749-4aee-b83f-5c653e79560d;( +++ );( B );Escherichia coli;2.31;Escherichia coli;2.24;
de7aa56c-994d-477e-a613-b1240c7cd176;( ++ );( A );Streptococcus oralis;2.29;Streptococcus oralis;2.27;
df603ad4-6b8b-4523-ab52-6ac8af178392;( ++ );( A );Candida parapsilosis;2.28;Candida parapsilosis;2.26;
df97f6cd-29d8-4542-9e06-279d2799962d;( ++ );( A );Enterococcus faecium;2.27;Enterococcus faecium;2.25;
dfb84d04-21e7-4e8a-a9cc-facef2efce12;( +++ );( B );Escherichia coli;2.31;Escherichia coli;2.29;
dfba0472-9f4b-45c4-bece-3859e6219c00;( ++ );( A );Streptococcus agalactiae;2.08;Streptococcus agalactiae;2.07;
dfcb7221-e4f8-4a39-b661-7e439f19e93d;( +++ );( A );Escherichia coli;2.48;Escherichia coli;2.45;
dff68c26-266b-4bbd-92a5-3fef6ce1a2d4;( +++ );( A );Escherichia coli;2.4;Escherichia coli;2.29;
e0407dcb-99bd-48d8-841a-8f52618fe37a;( - );( C );no peaks found ;<0;no peaks found ;<0;
e0747fdb-444e-419a-ad69-330c21af2fe3;( ++ );( A );Escherichia coli;2.27;Escherichia coli;2.23;
e11b1e85-a415-4830-a396-740faaa9a6fc;( ++ );( A );Enterococcus faecalis;2.11;Enterococcus faecalis;2.02;
e17ffa94-dc00-4b6f-95ec-c9eaa8b24070;( +++ );( A );Staphylococcus aureus;2.42;Staphylococcus aureus;2.42;
e1b519a7-35a9-4054-a7f1-7de1913de00e;( ++ );( A );Bacteroides fragilis;2.2;Bacteroides fragilis;2.02;
e1eb608c-cbb9-414d-ba2f-f019199db6af;( +++ );( A );Corynebacterium amycolatum;2.37;Corynebacterium amycolatum;2.15;
e2454c10-29bd-47e7-90bb-5d31aa68aa51;( ++ );( A );Staphylococcus haemolyticus;2.19;Staphylococcus haemolyticus;2.11;
e26c59c3-8b74-47b9-9d7c-7b1323f78c15;( +++ );( B );Escherichia coli;2.4;Escherichia coli;2.27;
e2a18e48-3e12-43c7-b790-9679bd002f23;( ++ );( A );Staphylococcus epidermidis;2.2;Staphylococcus epidermidis;2.12;
e2c80f9c-55ce-4fe5-abad-0d53b541332a;( +++ );( A );Pseudomonas aeruginosa;2.44;Pseudomonas aeruginosa;2.42;
e2f49931-dd49-4176-b1cc-f2d2e3690a69;( + );( B );Staphylococcus epidermidis;1.79;Staphylococcus epidermidis;1.74;
e3187775-bc51-4989-a7a9-099d4601eac0;( ++ );( C );Cronobacter sakazakii;2.2;Cronobacter sakazakii;2.16;
e3606a3a-5cb2-4596-b830-c1e2b19c600c;( +++ );( B );Escherichia coli;2.5;Escherichia coli;2.49;
e38fe884-e46b-437e-81ae-e1babeb1ae84;( +++ );( A );Enterococcus faecalis;2.33;Enterococcus faecalis;2.18;
e39ba219-a668-4261-afbb-a55bb102faa8;( ++ );( A );Streptococcus anginosus;2.05;Streptococcus anginosus;2.02;
e40d3c44-2283-4731-9513-e16238c172ae;( ++ );( A );Staphylococcus epidermidis;2.08;Staphylococcus epidermidis;2.06;
e40d5e5c-e0de-4575-84f9-bfe25ef1d63b;( ++ );( A );Escherichia coli;2.26;Escherichia coli;2.24;
e5cc7686-d4f8-4ef2-bcb2-f278021603a0;( ++ );( A );Escherichia coli;2.27;Escherichia coli;2.18;
e6198a36-24f0-471c-97d4-3f0d05400a63;( ++ );( A );Staphylococcus epidermidis;2.2;Staphylococcus epidermidis;2.03;
e675276d-2397-42bd-a397-9310a87b05ea;( ++ );( A );Staphylococcus aureus;2.21;Staphylococcus aureus;2.18;
e69c18d2-c9cc-4134-849e-8b592c14f130;( - );( C );not reliable identification;1.39;not reliable identification;1.31;
e6b244ab-71ff-4ff9-a4fd-8ea0e6a7efea;( ++ );( A );Escherichia coli;2.28;Escherichia coli;2.22;
e804503e-d70b-4783-9fa5-8c88dd94632b;( +++ );( A );Staphylococcus aureus;2.3;Staphylococcus aureus;2.21;
e83f10b7-ace2-43c4-9583-d1c8054ecdea;( ++ );( A );Escherichia coli;2.03;Escherichia coli;2.01;
e88c4ffe-a25e-44a5-8777-57b8925df348;( ++ );( A );Streptococcus anginosus;2.22;Streptococcus anginosus;2.2;
e8e9e4f6-2010-44c9-8bc2-6eb5cf394b11;( ++ );( A );Enterococcus faecalis;2.21;Enterococcus faecalis;2.2;
e90becf5-12fb-4588-9884-a72afcbab550;( +++ );( A );Campylobacter jejuni;2.32;Campylobacter jejuni;2.18;
e91a2637-c9b4-48a0-b05a-0300305b1100;( - );( C );not reliable identification;1.39;not reliable identification;1.3;
e9302abd-4b30-409b-bc7b-7d8b252905cf;( - );( C );no peaks found ;<0;no peaks found ;<0;
e96ad605-ffb8-4758-910d-88c3e87cffd6;( +++ );( A );Escherichia coli;2.33;Escherichia coli;2.25;
e98a8bb7-3d29-4ad5-8ccf-2447ea403f2d;( + );( B );Candida glabrata;1.85;Candida glabrata;1.81;
e9b55453-39f9-43bb-ba62-2565911e4c88;( ++ );( A );Candida glabrata;2.1;Candida glabrata;1.94;
eacf5e48-c32d-4ab7-8856-07bd72a77c81;( ++ );( B );Escherichia coli;2.29;Escherichia coli;2.2;
eb2c2efb-271e-464a-94b4-adf6df8f3225;( ++ );( A );Klebsiella pneumoniae;2.18;Klebsiella pneumoniae;2.13;
eb3c73e9-3883-49d5-9ee6-7b8c52cd4b8d;( +++ );( A );Sphingomonas paucimobilis;2.4;Sphingomonas paucimobilis;2.39;
ebb69de9-2abc-45ac-9136-b41e052bcd3c;( + );( B );Aerococcus urinae;1.98;Aerococcus urinae;1.94;
ebf0ac54-8cc2-4872-aa23-7cf517df1874;( - );( C );not reliable identification;1.39;not reliable identification;1.33;
ebf0eef4-4d6f-4c94-9f75-c1ccc35c71d5;( +++ );( C );Klebsiella oxytoca;2.34;Klebsiella oxytoca;2.23;
ec02571b-f459-4da7-a064-3cfa96eb8a18;( ++ );( A );Campylobacter jejuni;2.25;Campylobacter jejuni;2.2;
ec096e2d-51cf-4cc4-94f7-23ac9764cf71;( ++ );( A );Serratia marcescens;2.29;Serratia marcescens;2.27;
ec1c3237-1526-43b3-a509-c1fc1348e055;( +++ );( B );Neisseria subflava;2.34;Neisseria subflava;2.2;
ec2661a7-345c-413a-9bad-b0875fd529e3;( ++ );( A );Staphylococcus aureus;2.23;Staphylococcus aureus;2.21;
eca2f98f-b09b-4dae-8aa2-6128eed54218;( +++ );( A );Escherichia coli;2.42;Escherichia coli;2.41;
ecb9ff24-aaf1-49b6-aa0f-c6d91b70b6ea;( ++ );( A );Escherichia coli;2.13;Escherichia coli;2.13;
ecde1808-1e94-4555-8c1b-2c27975bf8f9;( + );( B );Candida albicans;1.99;Candida albicans;1.81;
ed61d49f-b569-48dd-b51a-21ebb18fe741;( ++ );( A );Staphylococcus epidermidis;2.12;Staphylococcus epidermidis;2.08;
ed8715bf-e3d3-412a-aa91-bb951001a566;( +++ );( A );Staphylococcus aureus;2.31;Staphylococcus aureus;2.26;
ed8f5354-9a9b-4fcc-a3e1-e24ab870f2ca;( +++ );( A );MIX!Haemophilus influenzae;2.58;Haemophilus influenzae;2.49;
ee890634-4cab-4d87-96c4-da6f3af9fbfe;( ++ );( A );Haemophilus parainfluenzae;2.12;Haemophilus parainfluenzae;1.88;
eea04013-7051-4c9e-9035-a469a57ce569;( +++ );( A );Streptococcus agalactiae;2.33;Streptococcus agalactiae;2.24;
eeb96a15-c5a9-498a-a87b-9c6bf6525c5c;( ++ );( B );Streptococcus dysgalactiae;2.18;Streptococcus dysgalactiae;2.16;
eefd491d-4051-4a79-90f8-68f3b2f22f33;( +++ );( A );Proteus mirabilis;2.45;Proteus mirabilis;2.3;
ef22908e-5773-48b5-88ca-1f407fa15417;( +++ );( A );Morganella morganii;2.46;Morganella morganii;2.43;
ef27c2f9-ca22-4d41-82ff-469fd8114b79;( - );( C );not reliable identification;1.34;not reliable identification;1.33;
ef43b565-a7f1-4366-87d1-549536e98495;( ++ );( A );Staphylococcus epidermidis;2.11;Staphylococcus epidermidis;2.02;
ef4d3bde-9c47-43ed-a691-f313e0274a3a;( +++ );( A );Staphylococcus epidermidis;2.32;Staphylococcus epidermidis;2.24;
ef7b3125-e664-4493-8dbf-ef3db887b932;( ++ );( B );Escherichia coli;2.25;Escherichia coli;2.25;
ef8c92b9-65fa-481e-be72-0a6f51cfa0d4;( +++ );( A );Enterococcus faecalis;2.47;Enterococcus faecalis;2.42;
efa81d25-28de-4ada-bd2a-c88891676cae;( +++ );( C );Enterobacter aerogenes;2.34;Enterobacter aerogenes;2.3;
efaa3a36-bd98-4494-a2ea-3dc9a5f8aab3;( + );( B );Corynebacterium tuberculostearicum;1.77;Corynebacterium tuberculostearicum;1.75;
efaa863a-f64d-4628-b0d3-3784603fed04;( +++ );( A );Enterococcus faecalis;2.33;Enterococcus faecalis;2.22;
efd88f2b-7e51-4e4d-93eb-dd7d2fc3850d;( ++ );( B );Streptococcus mitis;2.15;Streptococcus oralis;2.11;
f0042863-2220-417f-8609-4c76bec67be9;( ++ );( A );Streptococcus pneumoniae;2.26;Streptococcus pneumoniae;2.21;
f09a695c-7bc7-4760-a738-21ae9aa9ad0e;( +++ );( A );Escherichia coli;2.39;Escherichia coli;2.36;
f0b5b13e-9a97-4dfb-b5f9-47bdc0aa3028;( +++ );( A );Haemophilus influenzae;2.4;Haemophilus influenzae;2.23;
f0d15d9f-e469-44d3-b8e4-21ed85c1c96f;( + );( B );Candida albicans;1.76;not reliable identification;1.61;
f0dd5c7c-0b7e-46d8-b2f3-37512d72a440;( ++ );( A );Candida glabrata;2;Candida glabrata;1.97;
f0efaf69-1f2f-4b4c-9e64-9f28732fd09d;( ++ );( B );Klebsiella variicola;2.27;Klebsiella variicola;2.26;
f15d19f1-f262-4f2e-8664-8a791dd2e6dd;( +++ );( B );Proteus vulgaris;2.51;Proteus vulgaris;2.45;
f168f815-7879-4916-84a1-ff7f48b8facf;( - );( C );not reliable identification;1.4;not reliable identification;1.28;
f1998017-d9f5-4f4b-b644-a99cd149f8b9;( ++ );( A );Streptococcus pneumoniae;2.14;Streptococcus pneumoniae;2.11;
f1d33867-e2f0-4405-bfb0-c3fd4d93edd5;( ++ );( C );Enterobacter kobei;2.24;Enterobacter asburiae;2.18;
f238d6d1-1424-4cdd-955d-4c59ddbc0953;( +++ );( A );Staphylococcus aureus;2.36;Staphylococcus aureus;2.34;
f2b20e8f-3f38-4a3a-a6d3-dbda20113104;( +++ );( C );Klebsiella oxytoca;2.44;Klebsiella oxytoca;2.28;
f33d3028-e1ab-4f91-9805-fc9a487ccd41;( + );( B );Staphylococcus haemolyticus;1.88;Staphylococcus haemolyticus;1.78;
f35d9406-8a53-4908-95be-19af30688ede;( +++ );( B );Klebsiella variicola;2.34;Klebsiella variicola;2.27;
f4098923-d631-4ef7-be92-a18c4c49b43c;( +++ );( A );Fusobacterium necrophorum;2.36;Fusobacterium necrophorum;2.33;
f474b35c-7a3e-48ec-a9b3-43dcf3d10169;( ++ );( A );Escherichia coli;2.2;Escherichia coli;2.1;
f4973f77-04d4-4aa8-beb4-6bba331c21b6;( ++ );( A );Staphylococcus aureus;2.15;Staphylococcus aureus;2.08;
f49ad97a-fdd3-4580-a312-a43727e9be33;( - );( C );not reliable identification;1.32;not reliable identification;1.25;
f4d9968b-6cce-4c01-8d77-4a9833a05337;( ++ );( A );Staphylococcus epidermidis;2.18;Staphylococcus epidermidis;2.02;
f57608c2-0a41-4c24-886b-9638b34beb30;( ++ );( A );Enterococcus faecalis;2.28;Enterococcus faecalis;2.25;
f5957c7d-8263-4f2c-9b7a-94924fe1c472;( ++ );( A );Streptococcus oralis;2.11;Streptococcus oralis;2.06;
f61d6c70-e9bc-41b9-b75b-ce676ee72472;( ++ );( A );Staphylococcus haemolyticus;2;Staphylococcus haemolyticus;1.86;
f64649fd-a2b8-4a2b-998d-34cf8061feca;( +++ );( A );MIX!Acinetobacter pittii;2.47;Acinetobacter pittii;2.47;
f64ccb29-9636-4c80-8876-1c81fa8dc5cd;( +++ );( A );Fusobacterium necrophorum;2.36;Fusobacterium necrophorum;2.33;
f65f1dcd-64d0-4aa2-8921-c292134ef760;( +++ );( A );Staphylococcus aureus;2.37;Staphylococcus aureus;2.2;
f6aae1d7-8994-4834-8a60-8c8cbd0aa447;( ++ );( A );Staphylococcus epidermidis;2.09;Staphylococcus epidermidis;1.98;
f6ad4646-9492-4780-a6a4-5518d8e2414b;( ++ );( A );Staphylococcus saccharolyticus;2.02;Staphylococcus saccharolyticus;1.93;
f7443399-a816-4051-8c11-30d5308d90fe;( ++ );( A );Staphylococcus epidermidis;2.02;Staphylococcus epidermidis;1.97;
f7b6f7b2-f384-46b7-b37f-eaa188ef7440;( +++ );( A );Yersinia pseudotuberculosis;2.33;Yersinia pseudotuberculosis;2.27;
f861ef6f-1791-4b30-98ce-dd17ed665213;( - );( C );not reliable identification;1.6;not reliable identification;1.45;
f862c98a-6a10-4d2e-ab95-78d89bdf8d7c;( +++ );( A );Citrobacter koseri;2.5;Citrobacter koseri;2.45;
f86d97f1-a835-4b49-a13b-ff9cce0d153e;( ++ );( A );Staphylococcus capitis;2;Staphylococcus capitis;1.96;
f8d4b2fa-3f5f-4352-a733-2a3b36d4c7fc;( +++ );( A );Escherichia coli;2.41;Escherichia coli;2.27;
f8f1a0b6-09c2-4c38-bbf7-777bf91a885f;( + );( B );Trueperella bernardiae;1.81;Trueperella bernardiae;1.76;
f90cf2f9-950e-42e6-ac8f-b3c00e74b051;( +++ );( B );MIX!Acinetobacter pittii;2.49;Acinetobacter pittii;2.44;
f93b5d7d-402d-4f6d-bbf9-59e5c23f69ee;( ++ );( B );Streptococcus pyogenes;2.19;Streptococcus pyogenes;2.15;
f95d1cbd-30a2-4469-a31e-06404c145df6;( - );( C );not reliable identification;1.14;not reliable identification;1;
f98162ec-de26-4bf5-bd6d-59d3e2fde1b1;( +++ );( B );Citrobacter amalonaticus;2.36;Citrobacter amalonaticus;2.34;
f9f5809b-da53-4184-8773-37fa00420522;( ++ );( A );Staphylococcus epidermidis;2.08;Staphylococcus epidermidis;1.98;
fab54fe9-e8e5-465a-9ec0-7cf0cc92b508;( +++ );( A );Haemophilus parainfluenzae;2.39;Haemophilus parainfluenzae;2.12;
fad1db68-3c08-4044-99e8-09f4add933c2;( +++ );( A );Escherichia coli;2.41;Escherichia coli;2.34;
fb2426c5-6eef-4daf-b932-b08f1aaa38b9;( - );( C );not reliable identification;1.11;not reliable identification;1.06;
fb574894-fb5e-41d1-b6d1-a0e0a6c8f253;( + );( B );Aerococcus urinae;1.92;Aerococcus urinae;1.88;
fbef7374-6ebb-45bd-8a3b-80602517a491;( ++ );( B );Escherichia coli;2.25;Escherichia coli;2.2;
fc1f0cd4-845e-4450-b50a-e1457d805a05;( ++ );( B );Escherichia coli;2.25;Escherichia coli;2.25;
fca0715f-0628-4bb6-9a52-7129f98d758e;( ++ );( B );Enterobacter asburiae;2.16;Enterobacter kobei;2.11;
fd880c7e-5f0c-4870-a124-19be1d474d1e;( ++ );( A );Escherichia coli;2.21;Escherichia coli;2.19;
fd91cc88-86c0-49ff-9a76-60998ddef90d;( ++ );( A );Fusobacterium gonidiaformans;2.16;Fusobacterium gonidiaformans;2.15;
fe4bb663-33f1-4b28-b146-6f2e6ea46fba;( ++ );( A );Staphylococcus epidermidis;2.23;Staphylococcus epidermidis;2.2;
fe5a2dc2-d7b7-479c-bec8-bd3de4c692e2;( +++ );( A );Staphylococcus aureus;2.36;Staphylococcus aureus;2.26;
fec55306-cb9d-4ba2-8ff8-a1480ecb4c39;( ++ );( A );Streptococcus constellatus;2.17;Streptococcus constellatus;2.07;
feeb4054-af65-4207-82d3-abfb0719c67d;( ++ );( A );Staphylococcus aureus;2.27;Staphylococcus aureus;2.24;
ff423373-1d87-453b-84d1-fb4508273666;( ++ );( A );Propionibacterium acnes;2.11;Propionibacterium acnes;2;